N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,ESTADO,CENTRO DE ATENCIÓN,HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA
207,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,145,ORA,OPERATIVO,ORA HOSPITAL REGIONAL MOQUEGUA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Simón Bolívar N° 505
208,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,SAN ANTONIO,481,AG,OPERATIVO,AG MARISCAL NIETO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Central Mz D-4 Lt. 1
209,08.- AREQUIPA,MOQUEGUA,ILO,ILO,483,AG,OPERATIVO,AG ILO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Ayacucho N° 529
210,08.- AREQUIPA,AREQUIPA,CAYLLOMA,MAJES,511,AG,OPERATIVO,AG MAJES,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal
211,08.- AREQUIPA,AREQUIPA,AREQUIPA,CAYMA,579,AG,OPERATIVO,AG CAYMA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Ramón Castilla S/N - Estadio La Tomilla
212,08.- AREQUIPA,TACNA,TACNA,TACNA,621,AG,OPERATIVO,AG TACNA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle Deustua Nº 173
213,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,725,ORA,OPERATIVO,ORA HOSPITAL III GOYENECHE (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Goyeche N° 100
214,08.- AREQUIPA,AREQUIPA,CAMANA,CAMANA,726,ORA,OPERATIVO,ORA HOSPITAL DE CAMANA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Lima 550
215,08.- AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,762,MAC,OPERATIVO,MAC - AREQUIPA,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura 
216,08.- AREQUIPA,AREQUIPA,CAYLLOMA,MAJES,727,ORA,OPERATIVO,ORA HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO, Asentamiento B1 lote 1 Irrig. Majes
217,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,839,MAC,OPERATIVO,MAC - MOQUEGUA,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,"Avenida Circunvalación 1B Sub lote 1-A, Moquegua"
218,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,1040,PAP,OPERATIVO,PAP PASEO CENTRAL,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO,Calle Arturo Ibañez S/N
219,08.- AREQUIPA,AREQUIPA,AREQUIPA,CERRO COLORADO,750,ORA,OPERATIVO,C.S. MARITZA CAMPOS DIAZ (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle Yavari S/N
220,08.- AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,336,ORA,OPERATIVO,HOSPITAL EDMUNDO ESCOMEL (ESSALUD),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida EL Cayro S/N
221,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,514,ORA,OPERATIVO,HOSPITAL CARLOS ALBERTO SEGUIN ESCOBEDO (ESSALUD),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle Peral S/N
222,08.- AREQUIPA,AREQUIPA,AREQUIPA,YANAHUARA,338,ORA,OPERATIVO,ORA HOSPITAL III YANAHUARA (ESSALUD),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Zamácola S/N
223,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,600020,PVM,OPERATIVO,PVM - OR AREQUIPA,08:45 a 16:45,NO,NO,SI,NO,NO,NO,SI,NO,NO,Calle San Juan de Dios N° 122 y Santo Domingo N° 101
224,09.- CUSCO,CUSCO,CUSCO,SANTIAGO,60,ORA,OPERATIVO,ORA ANTONIO LORENA DEL CUSCO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Carlos Ugarte S/N Urb. Primavera Cuartel Agustín Gamarra
225,09.- CUSCO,CUSCO,CUSCO,WANCHAQ,61,ORA,OPERATIVO,ORA HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO (ESSALUD),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Ancelmo Alvarez S/N
226,09.- CUSCO,APURIMAC,ABANCAY,ABANCAY,71,OR,OPERATIVO,OR ABANCAY,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida La Victoria Nº 214
227,09.- CUSCO,APURIMAC,AYMARAES,CHALHUANCA,72,PANP,DESPLAZAMIENTO,PANP AYMARAES,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N (Gobernatura De Chalhuanca)
228,09.- CUSCO,APURIMAC,ANTABAMBA,ANTABAMBA,74,PANP,DESPLAZAMIENTO,PANP ANTABAMBA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Plaza de Armas S / N
229,09.- CUSCO,APURIMAC,COTABAMBAS,TAMBOBAMBA,75,PAP,OPERATIVO,PAP TAMBOBAMBA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Perú - Plaza de Armas S/N - 3er Piso
230,09.- CUSCO,APURIMAC,GRAU,CHUQUIBAMBILLA,76,PANP,DESPLAZAMIENTO,PANP GRAU,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Plaza de Armas S / N
231,09.- CUSCO,CUSCO,CUSCO,CUSCO,191,OR,OPERATIVO,OR CUSCO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida El Sol N° 272
232,09.- CUSCO,CUSCO,ACOMAYO,ACOMAYO,192,PANP,DESPLAZAMIENTO,PANP ACOMAYO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N
233,09.- CUSCO,CUSCO,ANTA,ANTA ,193,PAP,OPERATIVO,PAP ANTA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,"Jirón Jaquijahuana  S / N, Izcuchaca"
234,09.- CUSCO,CUSCO,CALCA,CALCA,194,AG,OPERATIVO,AG CALCA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI, Plaza de Armas S/N
235,09.- CUSCO,CUSCO,CANAS,YANAOCA,195,PAP,OPERATIVO,PAP CANAS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N
236,09.- CUSCO,CUSCO,CANCHIS,SICUANI,196,AG,OPERATIVO,AG CANCHIS,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Túpac Amaru N° 163
237,09.- CUSCO,CUSCO,CHUMBIVILCAS,SANTO TOMAS,197,PAP,OPERATIVO,PAP CHUMBIVILCAS,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Perú S / N (Ruedo de Toros)
238,09.- CUSCO,CUSCO,ESPINAR,ESPINAR,198,PAP,OPERATIVO,PAP ESPINAR,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle Teatro S/N  
239,09.- CUSCO,CUSCO,LA CONVENCION,SANTA ANA,199,AG,OPERATIVO,AG LA CONVENCION,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Grau Nº 238
240,09.- CUSCO,CUSCO,PARURO,PARURO,200,PANP,DESPLAZAMIENTO,PANP PARURO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N
241,09.- CUSCO,CUSCO,PAUCARTAMBO,PAUCARTAMBO,201,PAP,OPERATIVO,PAP PAUCARTAMBO - JR9,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Enrique Yabar S/N
242,09.- CUSCO,CUSCO,QUISPICANCHI,URCOS,202,PAP,OPERATIVO,PAP QUISPICANCHI,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Huáscar N° 181
243,09.- CUSCO,CUSCO,URUBAMBA,URUBAMBA,203,PAP,OPERATIVO,PAP URUBAMBA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Conchatupa S/N
244,09.- CUSCO,MADRE DE DIOS,TAHUAMANU,IBERIA,341,AG,OPERATIVO,AG IBERIA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Máximo Rodríguez N° 124 Plaza de Armas
245,09.- CUSCO,APURIMAC,ABANCAY,ABANCAY,348,ORA,OPERATIVO,ORA HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Daniel Alcides Carrión S/N
246,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,461,OR,OPERATIVO,OR TAMBOPATA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Lambayeque N° 159
247,09.- CUSCO,MADRE DE DIOS,MANU,MANU,462,PANP,DESPLAZAMIENTO,PANP MANU,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Avenida Esperanza S/N - Local Municipal
248,09.- CUSCO,CUSCO,ACOMAYO,POMACANCHI,495,AG,DESPLAZAMIENTO,AG POMACANCHI,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N
249,09.- CUSCO,CUSCO,CUSCO,CUSCO,599,ORA,OPERATIVO,ORA HOSPITAL DE APOYO DEPARTAMENTAL CUSCO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida La Cultura S/N
250,09.- CUSCO,CUSCO,CANCHIS,SICUANI,606,ORA,OPERATIVO,ORA SICUANI (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Manuel Callo Zevallos N° 519 - Hospital MINSA Sicuani
251,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,633,ORA,OPERATIVO,ORA SANTA ROSA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Cajamarca N° 171
252,09.- CUSCO,CUSCO,LA CONVENCION,SANTA ANA,648,ORA,OPERATIVO,ORA QUILLABAMBA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida General Gamarra S/N - Hospital Quillabamba
253,09.- CUSCO,CUSCO,ESPINAR,ESPINAR,657,ORA,OPERATIVO,ORA ESPINAR (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Domingo Huarca Cruz S/N Barrio Túpac Amaru  - Hospital Espinar
254,09.- CUSCO,MADRE DE DIOS,TAHUAMANU,IBERIA,713,ORA,OPERATIVO,ORA SAN MARTIN DE PORRES DE IBERIA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Mocopata S/N
255,09.- CUSCO,APURIMAC,COTABAMBAS,TAMBOBAMBA,349,ORA,OPERATIVO,ORA TAMBOBAMBA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO, Hospital Tambobamba
256,09.- CUSCO,APURIMAC,COTABAMBAS,HAQUIRA,793,PAP,OPERATIVO,PAP HAQUIRA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI, Plaza de armas S/N-Haquira
257,09.- CUSCO,CUSCO,CHUMBIVILCAS,SANTO TOMAS,728,ORA,OPERATIVO,ORA SANTO TOMAS (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle  Andres Avelino Caceres - Hospital Santo Tomas  
258,09.- CUSCO,CUSCO,CHUMBIVILCAS,VELILLE,920,PANP,DESPLAZAMIENTO,PANP VELILLE,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO, Plaza de Armas - Municipalidad Distrital Velille
259,09.- CUSCO,CUSCO,CALCA,YANATILE,919,PANP,DESPLAZAMIENTO,PANP YANATILE,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO, Plaza de Armas - Municipalidad Distrital Yanatile
260,09.- CUSCO,APURIMAC,ABANCAY,CURAHUASI,921,PANP,DESPLAZAMIENTO,PANP CURAHUASI,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO, Coliseo Cerrado - Municipalidad de Curahuasi
261,09.- CUSCO,CUSCO,CUSCO,SANTIAGO,1132,AG,OPERATIVO,AGENCIA SANTIAGO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle Giraldo Ruiz Caro S/N
262,09.- CUSCO,CUSCO,CUSCO,WANCHAQ,1165,MAC,OPERATIVO,MAC CUSCO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Collasuyo 2964 - Real Plaza Cusco
263,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,INAMBARI,343,AG,DESPLAZAMIENTO,AG INAMBARI,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO, Plaza de Armas - Municipalidad Provincial de Inambari
264,09.- CUSCO,CUSCO,CUSCO,CUSCO,600021,PVM,OPERATIVO,PVM - OR CUSCO,08:45 a 16:45,NO,NO,SI,NO,NO,NO,NO,NO,NO,Avenida El Sol N° 272
265,10.- LIMA,LIMA,LIMA ,JESÚS MARÍA,8,ORA,OPERATIVO,ORA HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS (ESSALUD),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida SALAVERRY CDRA. 13 - PUERTA 6
266,10.- LIMA,CALLAO,CALLAO,CALLAO,11,ORA,OPERATIVO,ORA NAC. DANIEL A. CARRIÓN (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida Guardia Chalaca Nº 2176 - Bellavista
267,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,12,ORA,OPERATIVO,ORA HOSPITAL SAN JUAN DE LURIGANCHO (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida Canto Grande S/N - Altura del paradero 10
268,10.- LIMA,LIMA,LIMA,EL AGUSTINO,14,ORA,OPERATIVO,ORA HOSPITAL NACIONAL HIPOLITO UNANUE (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida Cesar Vallejo Nº 1390 
269,10.- LIMA,LIMA,LIMA,LIMA,51,ORA,OPERATIVO,ORA INSTITUTO NACIONAL MATERNO PERINATAL (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Jirón Miroquesada Nº 941 - Lima
270,10.- LIMA,CALLAO,CALLAO,VENTANILLA,58,OR,OPERATIVO,OR VENTANILLA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Pachacutec N° 225 - Sector B - Grupo Residencial B1 - Mz. F1 
271,10.- LIMA,LIMA,LIMA,SANTIAGO DE SURCO,114,OR,OPERATIVO,OR SURCO - HIGUERETA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Santiago de Surco Nº 2807 Urb. Residencial Higuereta
272,10.- LIMA,LIMA,LIMA,SAN BORJA,168,OR,OPERATIVO,OR SAN BORJA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida San Luis N° 1673 Urb. Jacaranda II
273,10.- LIMA,LIMA,LIMA,COMAS,169,OR,OPERATIVO,OR COMAS III,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida San Felipe Nº 830 Urb. San Felipe
274,10.- LIMA,LIMA,LIMA,LIMA,174,OR,OPERATIVO,OR QUILCA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Quilca Nº 501 y 525 
275,10.- LIMA,LIMA,LIMA,LIMA,175,AG,OPERATIVO,AG ANCASH,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Ancash Nº 336-340 y 344 (Frente a la Plazuela San Francisco) - Lima
276,10.- LIMA,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,187,ORA,OPERATIVO,ORA DANIEL ALCIDES CARRION (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida Pachacutec N° 3470 - Pasando el Terminal Pesquero.
277,10.- LIMA,CALLAO,CALLAO,BELLAVISTA,335,MAC,OPERATIVO,MAC - CALLAO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza
278,10.- LIMA,LIMA,LIMA,LIMA,371,OR,OPERATIVO,OR LIMA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Nicolás de Piérola N 545
279,10.- LIMA,LIMA,LIMA,ATE,372,OR,OPERATIVO,OR ATE - Complejo Deportivo Ollantaytambo,08:45 a 16:45,SI,NO,SI,SI,NO,NO,NO,NO,SI,Av. Alfonso Ugarte s/n  Complejo Deportivo Ollantaytambo
280,10.- LIMA,LIMA,LIMA,ATE,372,OR,OPERATIVO,OR ATE - Mac Express de Puruchuco,08:45 a 13:00 - 14:00 a 16:45 ,NO,SI,NO,NO,SI,NO,SI,SI,SI,Av. Javier Pardo Este N° 8680  Mac Express - Agencia Municipal Real Plaza de Puruchuco.
281,10.- LIMA,LIMA,LIMA,COMAS,376,OR,OPERATIVO,OR COMAS I,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,"Avenida Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa"
282,10.- LIMA,LIMA,LIMA,LURIN,379,OR,OPERATIVO,OR LURIN,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,"MZ B, Lote 5 Asociación de Vivienda Familiar Centinela - Lurin"
283,10.- LIMA,LIMA,LIMA,MIRAFLORES,380,OR,OPERATIVO,OR MIRAFLORES,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Ernesto Diez Canseco N° 230
284,10.- LIMA,LIMA,LIMA,PUENTE PIEDRA,382,OR,OPERATIVO,OR PUENTE PIEDRA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Ricardo Palma Nº 241
285,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,386,OR,OPERATIVO,OR SAN JUAN DE LURIGANCHO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Las Flores Lote 1 Mz. G Urb. Canto Grande Unidad 7
286,10.- LIMA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,387,OR,OPERATIVO,OR SAN JUAN DE MIRAFLORES,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Guillermo Billinghurst  N° 767 – 769 Mz. F Lote 18 Urb. SJM Parcela D
287,10.- LIMA,LIMA,LIMA,SAN MARTÍN DE PORRES,389,OR,OPERATIVO,OR SAN MARTIN DE PORRES,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Eduardo de Habich Nº 590 - 592 con Pedro Paulet N° 589
288,10.- LIMA,LIMA,CAJATAMBO,CAJATAMBO,391,AG,OPERATIVO,AG CAJATAMBO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Bolognesi S/N - Comisiones de Regantes -Frente plaza de Armas
289,10.- LIMA,LIMA,CANTA,CANTA,392,AG,OPERATIVO,AG CANTA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Independencia Nº 308 Municipio (Plaza de Armas)
290,10.- LIMA,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,393,AG,OPERATIVO,AG CAÑETE,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Los Libertadores Mz. D-3 Lote 4 Urbanización Tercer Mundo
291,10.- LIMA,LIMA,HUAURA,HUACHO,394,AG,OPERATIVO,AG HUACHO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Grau Nº 295
292,10.- LIMA,LIMA,HUAROCHIRI,MATUCANA,395,AG,OPERATIVO,AG MATUCANA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Tacna S/N  - Centro Civico
293,10.- LIMA,LIMA,YAUYOS,YAUYOS,396,AG,OPERATIVO,AG YAUYOS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Plaza Plaza Constitución Nº 110
294,10.- LIMA,LIMA,HUARAL,HUARAL,397,AG,OPERATIVO,AG HUARAL,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Pasaje el Palmo esquina con Calle Huaquilla (DEMUNA HUARAL)
295,10.- LIMA,LIMA,BARRANCA,BARRANCA,398,OR,OPERATIVO,OR BARRANCA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Independencia N° 674 - 676 - 678
296,10.- LIMA,LIMA,OYON,OYON,399,AG,OPERATIVO,AG OYON,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Unión 216
297,10.- LIMA,LIMA,LIMA,LURIGANCHO,401,OR,OPERATIVO,OR CHOSICA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Chucuito Nº 248 
298,10.- LIMA,LIMA,LIMA,PACHACAMAC,404,OR,OPERATIVO,OR PACHACAMAC,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Paul Poblet N° 3111 - Dentro del Mercado Jumbo
299,10.- LIMA,LIMA,LIMA,JESÚS MARÍA,405,OR,OPERATIVO,OR JESUS MARIA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Talara N° 130-132-134 y 136 Jesús Maria
300,10.- LIMA,LIMA,LIMA,CIENEGUILLA,421,OR,OPERATIVO,OR CIENEGUILLA,08:45 a 16:45,NO,SI,NO,NO,SI,SI,SI,SI,SI,"Avenida San Martin Lote 15, Zona ""D"" Manzana ""D"" Centro Poblado Tambo Viejo"
301,10.- LIMA,LIMA,LIMA,SANTA ANITA,423,OR,OPERATIVO,OR SANTA ANITA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,"Avenida Los Eucaliptos Nº 947, Urbanización Universal"
302,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,430,OR,OPERATIVO,OR INDEPENDENCIA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte
303,10.- LIMA,CALLAO,CALLAO,VENTANILLA,544,MAC,OPERATIVO,MAC - VENTANILLA,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica 
304,10.- LIMA,LIMA,LIMA,JESÚS MARÍA,550,AG,OPERATIVO,AG 06 DE AGOSTO,08:45 a 16:45,NO,NO,NO,NO,SI,NO,SI,SI,NO,Avenida 06 de Agosto N° 856
305,10.- LIMA,CALLAO,CALLAO,MI PERÚ,574,PAP,OPERATIVO,PAP MI PERU,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO, Mz. G7 Lt. 06 Mi Perú  interior de la Sede Municipal.
306,10.- LIMA,LIMA,LIMA,SAN MARTÍN DE PORRES,577,ORA,OPERATIVO,ORA NACIONAL CAYETANO HEREDIA (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Jirón Honorio Delgado N° 262 - Urb. Ingeniería / Obstetricia
307,10.- LIMA,LIMA,HUAURA,HUACHO,640,ORA,OPERATIVO,ORA HOSPITAL GENERAL DE HUACHO (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Jose Arnaldo Arambulo La Rosa N° 251
308,10.- LIMA,CALLAO,CALLAO,CALLAO,661,OR,OPERATIVO,OR CALLAO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Dos de Mayo N° 440 - 446
309,10.- LIMA,LIMA,LIMA,SAN BORJA,696,AG,OPERATIVO,AG ATENCIONES ESPECIALES DE SAN BORJA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,NO,NO,SI,Avenida Javier Prado N° 2388 -2386 - 2392
310,10.- LIMA,LIMA,LIMA,EL AGUSTINO,717,MAC,OPERATIVO,MAC - LIMA ESTE,08:30 a 16:30,SI,SI,SI,SI,SI,NO,NO,NO,SI,Avenida Carretera Central 111 Mall Aventura Santa Anita Nivel 2
311,10.- LIMA,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,729,ORA,OPERATIVO,ORA HOSPITAL SAN JOSE (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Jirón Las Magnolias 475 Carmen de la Legua-Reynoso
312,10.- LIMA,CALLAO,CALLAO,VENTANILLA,730,ORA,OPERATIVO,ORA HOSPITAL DE VENTANILLA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Pedro Beltran S/N Ventanilla - Hospital de Ventanilla
313,10.- LIMA,LIMA,CAÑETE,SAN LUIS,739,ORA,OPERATIVO,ORA HOSPITAL REZOLA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle Distrito de San Luis S/N
314,10.- LIMA,LIMA,BARRANCA,BARRANCA,740,ORA,OPERATIVO,ORA HOSPITAL DE BARRANCA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Nicolás de Piérola Nº 210 -224
315,10.- LIMA,LIMA,HUARAL,HUARAL,753,ORA,OPERATIVO,ORA HOSPITAL SAN JUAN BAUTISTA HUARAL (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle Tacna Nº 120 Urb. San Juan I
316,10.- LIMA,LIMA,LIMA ,COMAS,754,ORA,OPERATIVO,ORA HOSPITAL NACIONAL SERGIO E. BERNALES (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,"Avenida Túpac Amaru N° 8000, Collique, Comas."
