CENTROS DE ATENCIÓN DEL RENIEC A NIVEL NACIONAL A JULIO 2025;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
N°;CODIGO SIO DNI NUM;DEPARTAMENTO;PROVINCIA;DISTRITO;OFICINAS REGIONALES/U.O.;TIPO DE LOCAL;SIGLA TIPO DE LOCAL;CENTRO DE ATENCIÓN;HORARIO DE ATENCIÓN AL PUBLICO;NOMBRE DE LA VIA;"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC"; ¿Este Centro de Atención toma fotografía? ; ¿Este Centro de Atención entrega DNI Electrónico? ; TRAMITE DE DNI MAYOR ; TRAMITE DE DNI MENOR ; ENTREGAS DE DNI ; INSCRIPCION DE REGISTROS CIVILES ; CERTIFICACION DE REGISTROS CIVILES ; CERTIFICACION DEL RUIPN ; EREP ;;;
217;511;AREQUIPA;CAYLLOMA;MAJES;;;;AG MAJES;08:45 a 16:45;Avenida Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
218;579;AREQUIPA;AREQUIPA;CAYMA;;;;AG CAYMA;08:45 a 16:45;Avenida Ramón Castilla S/N - Estadio La Tomilla;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
219;621;TACNA;TACNA;TACNA;;;;AG TACNA;08:45 a 16:45;Calle Deustua Nº 173;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
220;725;AREQUIPA;AREQUIPA;AREQUIPA;;;;ORA HOSPITAL III GOYENECHE (MINSA);08:45 a 16:30;Avenida Goyeneche N° 100;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
221;726;AREQUIPA;CAMANA;CAMANA;;;;ORA HOSPITAL DE CAMANA (MINSA);08:45 a 16:30;Avenida Lima 550;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
222;762;AREQUIPA;AREQUIPA;PAUCARPATA;;;;MAC - AREQUIPA;08:30 a 16:30;Avenida Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
223;727;AREQUIPA;CAYLLOMA;MAJES;;;;ORA HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS (MINSA);08:45 a 16:30; Asentamiento B1 lote 1 Irrig. Majes;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
224;839;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;;;;MAC - MOQUEGUA;08:30 a 16:30;Avenida Circunvalación 1B Sub lote 1-A, Moquegua;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
225;1040;AREQUIPA;AREQUIPA;AREQUIPA;;;;PAP PASEO CENTRAL;08:45 a 16:45;Calle Arturo Ibañez S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
226;750;AREQUIPA;AREQUIPA;CERRO COLORADO;;;;C.S. MARITZA CAMPOS DIAZ (MINSA);08:45 a 16:30;Calle Yavari S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
227;336;AREQUIPA;AREQUIPA;PAUCARPATA;;;;HOSPITAL EDMUNDO ESCOMEL (ESSALUD);08:45 a 16:30;Avenida EL Cayro S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
228;514;AREQUIPA;AREQUIPA;AREQUIPA;;;;HOSPITAL CARLOS ALBERTO SEGUIN ESCOBEDO (ESSALUD);08:45 a 16:30;Calle Peral S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
229;338;AREQUIPA;AREQUIPA;YANAHUARA;;;;ORA HOSPITAL III YANAHUARA (ESSALUD);08:45 a 16:30;Avenida Zamácola S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
230;600020;AREQUIPA;AREQUIPA;AREQUIPA;;;;AGENTE RENIEC - OR AREQUIPA;08:45 a 16:45;Calle San Juan de Dios N° 122 y Santo Domingo N° 101;OPERATIVO;NO;NO;SI;NO;NO;NO;SI;NO;NO;;;
231;60;CUSCO;CUSCO;SANTIAGO;;;;ORA ANTONIO LORENA DEL CUSCO (MINSA);08:45 a 16:30;Calle Carlos Ugarte S/N Urb. Primavera Cuartel Agustín Gamarra;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
232;61;CUSCO;CUSCO;WANCHAQ;;;;ORA HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO (ESSALUD);08:45 a 16:30;Avenida Ancelmo Alvarez S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
233;71;APURIMAC;ABANCAY;ABANCAY;;;;OR ABANCAY;08:45 a 16:45;Avenida La Victoria Nº 214;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
234;72;APURIMAC;AYMARAES;CHALHUANCA;;;;PANP AYMARAES;08:45 a 16:45; Plaza de Armas S/N (Gobernatura De Chalhuanca);DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
235;74;APURIMAC;ANTABAMBA;ANTABAMBA;;;;PANP ANTABAMBA;08:45 a 16:45; Plaza de Armas S / N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
236;75;APURIMAC;COTABAMBAS;TAMBOBAMBA;;;;PAP TAMBOBAMBA;08:45 a 16:45;Avenida Perú - Plaza de Armas S/N - 3er Piso;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
237;76;APURIMAC;GRAU;CHUQUIBAMBILLA;;;;PANP GRAU;08:45 a 16:45; Plaza de Armas S / N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
238;191;CUSCO;CUSCO;CUSCO;;;;OR CUSCO;08:45 a 16:45;Avenida El Sol N° 272;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
239;192;CUSCO;ACOMAYO;ACOMAYO;;;;PANP ACOMAYO;08:45 a 16:45; Plaza de Armas S/N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
240;193;CUSCO;ANTA;ANTA ;;;;PAP ANTA;08:45 a 16:45;Jirón Jaquijahuana  S / N, Izcuchaca;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
241;194;CUSCO;CALCA;CALCA;;;;AG CALCA;08:45 a 16:45; Plaza de Armas S/N;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
242;195;CUSCO;CANAS;YANAOCA;;;;PAP CANAS;08:45 a 16:45; Plaza de Armas S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;NO;NO;NO;;;
243;196;CUSCO;CANCHIS;SICUANI;;;;AG CANCHIS;08:45 a 16:45;Avenida Túpac Amaru N° 163;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
244;197;CUSCO;CHUMBIVILCAS;SANTO TOMAS;;;;PAP CHUMBIVILCAS;08:45 a 16:45;Avenida Perú S / N (Ruedo de Toros);OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
245;198;CUSCO;ESPINAR;ESPINAR;;;;PAP ESPINAR;08:45 a 16:45;Calle Teatro S/N  ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
246;199;CUSCO;LA CONVENCION;SANTA ANA;;;;AG LA CONVENCION;08:45 a 16:45;Avenida Grau Nº 238;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
247;200;CUSCO;PARURO;PARURO;;;;PANP PARURO;08:45 a 16:45; Plaza de Armas S/N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
248;201;CUSCO;PAUCARTAMBO;PAUCARTAMBO;;;;PAP PAUCARTAMBO - JR9;08:45 a 16:45;Jirón Enrique Yabar S/N;OPERATIVO;SI;SI;SI;SI;SI;NO;NO;NO;SI;;;
249;202;CUSCO;QUISPICANCHI;URCOS;;;;PAP QUISPICANCHI;08:45 a 16:45;Jirón Huáscar N° 181;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
250;203;CUSCO;URUBAMBA;URUBAMBA;;;;PAP URUBAMBA;08:45 a 16:45;Avenida Conchatupa S/N;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
251;341;MADRE DE DIOS;TAHUAMANU;IBERIA;;;;AG IBERIA;08:45 a 16:45;Avenida Máximo Rodríguez N° 124 Plaza de Armas;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
252;348;APURIMAC;ABANCAY;ABANCAY;;;;ORA HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA (MINSA);08:45 a 16:30;Avenida Daniel Alcides Carrión S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
253;461;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;;;;OR TAMBOPATA;08:45 a 16:45;Jirón Lambayeque N° 159;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
254;462;MADRE DE DIOS;MANU;MANU;;;;PANP MANU;08:45 a 16:45;Avenida Esperanza S/N - Local Municipal;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
255;495;CUSCO;ACOMAYO;POMACANCHI;;;;AG POMACANCHI;08:45 a 16:45; Plaza de Armas S/N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
256;599;CUSCO;CUSCO;CUSCO;;;;ORA HOSPITAL DE APOYO DEPARTAMENTAL CUSCO (MINSA);08:45 a 16:30;Avenida La Cultura S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
257;606;CUSCO;CANCHIS;SICUANI;;;;ORA SICUANI (MINSA);08:45 a 16:30;Avenida Manuel Callo Zevallos N° 519 - Hospital MINSA Sicuani;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
258;633;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;;;;ORA SANTA ROSA (MINSA);08:45 a 16:30;Jirón Cajamarca N° 171;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
259;648;CUSCO;LA CONVENCION;SANTA ANA;;;;ORA QUILLABAMBA (MINSA);08:45 a 16:30;Avenida General Gamarra S/N - Hospital Quillabamba;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
260;657;CUSCO;ESPINAR;ESPINAR;;;;ORA ESPINAR (MINSA);08:45 a 16:30;Calle Domingo Huarca Cruz S/N Barrio Túpac Amaru  - Hospital Espinar;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
261;713;MADRE DE DIOS;TAHUAMANU;IBERIA;;;;ORA SAN MARTIN DE PORRES DE IBERIA (MINSA);08:45 a 16:30;Calle Mocopata S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
262;349;APURIMAC;COTABAMBAS;TAMBOBAMBA;;;;ORA TAMBOBAMBA (MINSA);08:45 a 16:30; Hospital Tambobamba;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
263;793;APURIMAC;COTABAMBAS;HAQUIRA;;;;PAP HAQUIRA;08:45 a 16:45; Plaza de armas S/N-Haquira;DESPLAZAMIENTO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
264;728;CUSCO;CHUMBIVILCAS;SANTO TOMAS;;;;ORA SANTO TOMAS (MINSA);08:45 a 16:30;Calle  Andres Avelino Caceres - Hospital Santo Tomas  ;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
265;920;CUSCO;CHUMBIVILCAS;VELILLE;;;;PANP VELILLE;08:45 a 16:45; Plaza de Armas - Municipalidad Distrital Velille;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
266;919;CUSCO;CALCA;YANATILE;;;;PANP YANATILE;08:45 a 16:45; Plaza de Armas - Municipalidad Distrital Yanatile;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
267;921;APURIMAC;ABANCAY;CURAHUASI;;;;PANP CURAHUASI;08:45 a 16:45; Coliseo Cerrado - Municipalidad de Curahuasi;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
268;1132;CUSCO;CUSCO;SANTIAGO;;;;AGENCIA SANTIAGO;08:15 a 16:15;Calle Giraldo Ruiz Caro S/N;OPERATIVO;SI;SI;SI;SI;SI;NO;NO;NO;SI;;;
269;1165;CUSCO;CUSCO;WANCHAQ;;;;MAC - CUSCO;08:30 a 16:30;Avenida Collasuyo 2964 - Real Plaza Cusco;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
270;343;MADRE DE DIOS;TAMBOPATA;INAMBARI;;;;AG INAMBARI;08:45 a 16:45; Plaza de Armas - Municipalidad Provincial de Inambari;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
271;600021;CUSCO;CUSCO;CUSCO;;;;AGENTE RENIEC - OR CUSCO;08:45 a 16:45;Avenida El Sol N° 272;OPERATIVO;NO;NO;SI;NO;NO;NO;NO;NO;NO;;;
272;600;CUSCO;CUSCO;SANTIAGO;;;;ORA BELEMPAMPA (MINSA);08:45 a 13:00;Plazoleta Belen S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
273;8;LIMA;LIMA ;JESUS MARIA;;;;ORA HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS (ESSALUD);08:45 a 16:30;Avenida SALAVERRY CDRA. 13 - PUERTA 6;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
274;11;CALLAO;CALLAO;BELLAVISTA;;;;ORA NAC. DANIEL A. CARRIÓN (MINSA);08:45 a 16:30;Avenida Guardia Chalaca Nº 2176 - Bellavista;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
275;12;LIMA;LIMA;SAN JUAN DE LURIGANCHO;;;;ORA HOSPITAL SAN JUAN DE LURIGANCHO (MINSA);08:45 a 16:30;Avenida Canto Grande S/N - Altura del paradero 10;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
276;14;LIMA;LIMA;EL AGUSTINO;;;;ORA HOSPITAL NACIONAL HIPOLITO UNANUE (MINSA);08:45 a 16:30;Avenida Cesar Vallejo Nº 1390 ;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
277;51;LIMA;LIMA;LIMA;;;;ORA INSTITUTO NACIONAL MATERNO PERINATAL (MINSA);08:45 a 16:30;Jirón Miroquesada Nº 941 - Lima;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
278;58;CALLAO;CALLAO;VENTANILLA;;;;OR VENTANILLA;08:45 a 16:45;Avenida Pachacutec N° 225 - Sector B - Grupo Residencial B1 - Mz. F1 ;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
279;168;LIMA;LIMA;SAN BORJA;;;;OR SAN BORJA;08:45 a 16:45;Avenida San Luis N° 1673 Urb. Jacaranda II;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
280;169;LIMA;LIMA;COMAS;;;;OR COMAS III;08:45 a 16:45;Avenida San Felipe Nº 830 Urb. San Felipe;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
281;174;LIMA;LIMA;LIMA;;;;OR QUILCA;08:45 a 16:45;Jirón Quilca Nº 501 y 525 ;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
282;175;LIMA;LIMA;LIMA;;;;AG ANCASH;08:45 a 16:45;Jirón Ancash Nº 336-340 y 344 (Frente a la Plazuela San Francisco) - Lima;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
283;187;LIMA;LIMA;VILLA MARÍA DEL TRIUNFO;;;;ORA DANIEL ALCIDES CARRION (MINSA);08:45 a 16:30;Avenida Pachacutec N° 3470 - Pasando el Terminal Pesquero.;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
284;335;CALLAO;CALLAO;BELLAVISTA;;;;MAC - CALLAO;"L - V  08:30 a 18:00 
SAB.8:30 a 13:00";Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
285;371;LIMA;LIMA;LIMA;;;;OR LIMA;08:45 a 16:45;Jirón Nicolás de Piérola N 545;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
286;372;LIMA;LIMA;ATE;;;;OR ATE - Complejo Deportivo Ollantaytambo;08:45 a 16:45;Av. Alfonso Ugarte s/n  Complejo Deportivo Ollantaytambo;OPERATIVO;SI;NO;SI;SI;NO;NO;NO;NO;SI;;;
287;372;LIMA;LIMA;ATE;;;;OR ATE - Mac Express de Puruchuco;"08:45 a 13:00 
 14:00 a 16:45 ";Av. Javier Pardo Este N° 8680  Mac Express - Agencia Municipal Real Plaza de Puruchuco.;OPERATIVO;NO;SI;NO;NO;SI;SI;SI;SI;SI;;;
288;376;LIMA;LIMA;COMAS;;;;OR COMAS I;08:45 a 16:45;Avenida Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
289;379;LIMA;LIMA;LURIN;;;;OR LURIN;08:45 a 16:45;MZ B, Lote 5 Asociación de Vivienda Familiar Centinela - Lurin;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
290;380;LIMA;LIMA;MIRAFLORES;;;;OR MIRAFLORES;08:45 a 16:45;Avenida Ernesto Diez Canseco N° 230;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
291;382;LIMA;LIMA;PUENTE PIEDRA;;;;OR PUENTE PIEDRA;08:45 a 16:45;Jirón Ricardo Palma Nº 241;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
292;386;LIMA;LIMA;SAN JUAN DE LURIGANCHO;;;;OR SAN JUAN DE LURIGANCHO;08:45 a 16:45;Avenida Las Flores Lote 1 Mz. G Urb. Canto Grande Unidad 7;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
293;387;LIMA;LIMA;SAN JUAN DE MIRAFLORES;;;;OR SAN JUAN DE MIRAFLORES;08:45 a 16:45;Avenida Guillermo Billinghurst  N° 767 – 769 Mz. F Lote 18 Urb. SJM Parcela D;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
294;389;LIMA;LIMA;SAN MARTIN DE PORRES;;;;OR SAN MARTIN DE PORRES;08:45 a 16:45;Avenida Eduardo de Habich Nº 590 - 592 con Pedro Paulet N° 589;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
295;391;LIMA;CAJATAMBO;CAJATAMBO;;;;AG CAJATAMBO;08:45 a 16:45;Jirón Bolognesi S/N - Comisiones de Regantes -Frente plaza de Armas;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
296;392;LIMA;CANTA;CANTA;;;;AG CANTA;08:45 a 16:45;Jirón Independencia Nº 308 Municipio (Plaza de Armas);OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
297;393;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;;;;AG CAÑETE;08:45 a 16:45;Avenida Los Libertadores Mz. D-3 Lote 4 Urbanización Tercer Mundo;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
298;394;LIMA;HUAURA;HUACHO;;;;AG HUACHO;08:45 a 16:45;Avenida Grau Nº 295;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
299;395;LIMA;HUAROCHIRI;MATUCANA;;;;AG MATUCANA;08:45 a 16:45;Jirón Tacna 626  - Centro Civico;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
300;396;LIMA;YAUYOS;YAUYOS;;;;AG YAUYOS;08:45 a 16:45;Plaza Plaza Constitución Nº 110;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
301;397;LIMA;HUARAL;HUARAL;;;;AG HUARAL;08:45 a 16:45;Pasaje el Palmo esquina con Calle Huaquilla (DEMUNA HUARAL);OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
302;398;LIMA;BARRANCA;BARRANCA;;;;OR BARRANCA;08:45 a 16:45;Avenida Independencia N° 674 - 676 - 678;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
303;399;LIMA;OYON;OYON;;;;AG OYON;08:45 a 16:45;Jirón Unión 216;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
304;401;LIMA;LIMA;LURIGANCHO;;;;OR CHOSICA;08:45 a 16:45;Jirón Chucuito Nº 248 ;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
305;405;LIMA;LIMA;JESUS MARIA;;;;OR JESUS MARIA;08:45 a 16:45;Jirón Talara N° 130-132-134 y 136 Jesús Maria;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
306;421;LIMA;LIMA;CIENEGUILLA;;;;OR CIENEGUILLA;08:45 a 16:45;"Avenida San Martin Lote 15, Zona ""D"" Manzana ""D"" Centro Poblado Tambo Viejo";OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
307;423;LIMA;LIMA;SANTA ANITA;;;;OR SANTA ANITA;08:45 a 16:45;Avenida Los Eucaliptos Nº 947, Urbanización Universal;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
308;430;LIMA;LIMA;INDEPENDENCIA;;;;OR INDEPENDENCIA;08:45 a 16:45;Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
309;544;CALLAO;CALLAO;VENTANILLA;;;;MAC - VENTANILLA;"L - V  08:30 a 18:00 
SAB.8:30 a 13:00";Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
310;550;LIMA;LIMA;JESUS MARIA;;;;AG 06 DE AGOSTO;08:45 a 16:45;Avenida 06 de Agosto N° 856;OPERATIVO;NO;NO;NO;NO;SI;NO;SI;SI;NO;;;
311;577;LIMA;LIMA;SAN MARTIN DE PORRES;;;;ORA NACIONAL CAYETANO HEREDIA (MINSA);08:45 a 16:30;Jirón Honorio Delgado N° 262 - Urb. Ingeniería / Obstetricia;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
312;640;LIMA;HUAURA;HUACHO;;;;ORA HOSPITAL GENERAL DE HUACHO (MINSA);08:45 a 16:30;Avenida Jose Arnaldo Arambulo La Rosa N° 251;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
313;661;CALLAO;CALLAO;CALLAO;;;;OR CALLAO;08:45 a 16:45;Avenida Dos de Mayo N° 440 - 446;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
314;717;LIMA;LIMA;EL AGUSTINO;;;;MAC - LIMA ESTE;"L - V  08:30 a 18:00 
SAB.8:30 a 13:00";Avenida Carretera Central 111 Mall Aventura Santa Anita Nivel 2;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
315;729;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;;;;ORA HOSPITAL SAN JOSE (MINSA);08:45 a 16:30;Jirón Las Magnolias 475 Carmen de la Legua-Reynoso;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
316;730;CALLAO;CALLAO;VENTANILLA;;;;ORA HOSPITAL DE VENTANILLA (MINSA);08:45 a 16:30;Avenida Pedro Beltran S/N Ventanilla - Hospital de Ventanilla;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
317;739;LIMA;CAÑETE;SAN LUIS;;;;ORA HOSPITAL REZOLA (MINSA);08:45 a 16:30;Calle Distrito de San Luis S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
318;740;LIMA;BARRANCA;BARRANCA;;;;ORA HOSPITAL DE BARRANCA (MINSA);08:45 a 16:30;Avenida Nicolás de Piérola Nº 210 -224;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
319;753;LIMA;HUARAL;HUARAL;;;;ORA HOSPITAL SAN JUAN BAUTISTA HUARAL (MINSA);08:45 a 16:30;Calle Tacna Nº 120 Urb. San Juan I;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
320;754;LIMA;LIMA ;COMAS;;;;ORA HOSPITAL NACIONAL SERGIO E. BERNALES (MINSA);08:45 a 16:30;Avenida Túpac Amaru N° 8000, Collique, Comas.;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
321;755;LIMA;LIMA;LIMA;;;;ORA NACIONAL DOS DE MAYO (MINSA);08:45 a 16:30;Avenida Parque Historia De La Medicina Peruana S/N Altura Cuadra 13 Av Grau;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
322;757;LIMA;LIMA;ATE ;;;;ORA HOSPITAL DE HUAYCAN (MINSA);08:45 a 16:30;Avenida José C.Mariátegui S/N Zona B - A.H.Huaycán S/N Ate Lima Lima;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
323;796;LIMA;LIMA;SAN JUAN DE MIRAFLORES;;;;MAC - LIMA SUR;"L - V  08:30 a 18:00 
SAB.8:30 a 13:00";Avenida Circunvalación 1583- San Juan de Miraflores;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
324;808;LIMA;LIMA;COMAS;;;;MAC - LIMA NORTE;"L - V  08:30 a 18:00 
SAB.8:30 a 13:00";Avenida Los Angeles N° 602 2do piso - Cc Mall Plaza ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
325;600013;LIMA;LIMA;JESUS MARIA;;;;AGENTE RENIEC - OR JESUS MARIA;08:45 a 16:45;Jirón Talara N° 130;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
326;600011;LIMA;LIMA;MIRAFLORES;;;;AGENTE RENIEC - OR MIRAFLORES;08:45 a 16:45;Avenida Diez Canseco N° 230;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
327;600023;LIMA;LIMA;INDEPENDENCIA;;;;AGENTE RENIEC - OR INDEPENDENCIA;08:45 a 16:45;Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
328;17;LIMA;LIMA;SANTA ANITA;;;;ORA HOSP. JORGE VOTO BERNALES (ESSALUD);08:45 a 16:30;Carretera CARRETERA CENTRAL KM. 3,5 - SANTA ANITA;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
329;186;LIMA;LIMA;LIMA;;;;HOSP. NAC DOC MADRE Y NIÑO  SAN BARTOLOME (MINSA);08:45 a 16:30;Avenida ALFONSO UGARTE 825 - LIMA;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
