N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA,,,,,,,,,,,
196,07.- AYACUCHO,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,ORA HOSPITAL REGIONAL DOCENTE  HUGO PESCE PESCETTO ANDAHUAYLAS (MINSA),459,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Hugo Pesce Pesceto S/N,,,,,,,,,,,
197,07.- AYACUCHO,AYACUCHO,HUANTA,SIVIA,ORA HOSPITAL DE APOYO DE SIVIA (MINSA),357,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Gervacio Santillana S/N,,,,,,,,,,,
198,07.- AYACUCHO,CUSCO,LA CONVENCION,KIMBIRI,ORA CENTRO DE SALUD SAN JUAN DE KIMBIRI (MINSA),699,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Aeropuerto S/N,,,,,,,,,,,
199,07.- AYACUCHO,CUSCO,LA CONVENCION,PICHARI,ORA HOSPITAL DE APOYO PICHARI (MINSA),629,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Amazonas s/n,,,,,,,,,,,
200,07.- AYACUCHO,APURIMAC,CHINCHEROS,CHINCHEROS,ORA HOSPITAL DE APOYO CHINCHEROS (MINSA),457,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Fernando Belaunde Terry S/N,,,,,,,,,,,
201,07.- AYACUCHO,AYACUCHO,CANGALLO,LOS MOROCHUCOS,ORA PAMPA CANGALLO (MINSA),631,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida María Arguedas S/N,,,,,,,,,,,
202,07.- AYACUCHO,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,ORA SAN JUAN BAUTISTA,1186,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,AV. MALVINAS S/N,,,,,,,,,,,
203,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA (MINSA),52,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Daniel Alcides Carrión N° 505,,,,,,,,,,,
204,08.- AREQUIPA,TACNA,TACNA,TACNA,ORA TACNA (MINSA),54,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle Blondel S/N,,,,,,,,,,,
205,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,OR AREQUIPA,91,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle San Juan de Dios N° 122 y Santo Domingo N° 101,,,,,,,,,,,
206,08.- AREQUIPA,AREQUIPA,CAYLLOMA,CHIVAY,PAP CAYLLOMA,92,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Calle Siglo XX S/N,,,,,,,,,,,
207,08.- AREQUIPA,AREQUIPA,CAMANA,CAMANA,AG CAMANA,93,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Avenida Mariscal Castilla N° 221,,,,,,,,,,,
208,08.- AREQUIPA,AREQUIPA,CARAVELI,CARAVELÍ,PAP CARAVELI,94,PAP,DESPLAZAMIENTO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón Bolivar S/N,,,,,,,,,,,
209,08.- AREQUIPA,AREQUIPA,CASTILLA,APLAO,PAP CASTILLA,95,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Calle Progreso S/N,,,,,,,,,,,
210,08.- AREQUIPA,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,PAP CONDESUYOS,96,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Avenida Alameda S/N - Los Tres Errantes,,,,,,,,,,,
211,08.- AREQUIPA,AREQUIPA,ISLAY,MOLLENDO,AG ISLAY,97,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Calle Arequipa Nº 261 ,,,,,,,,,,,
212,08.- AREQUIPA,AREQUIPA,LA UNION,COTAHUASI,PAP LA UNION,98,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Calle Centenario N° 202 - Cotahuasi,,,,,,,,,,,
213,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ORA HOSPITAL REGIONAL MOQUEGUA (MINSA),145,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Simón Bolívar N° 505,,,,,,,,,,,
214,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,SAN ANTONIO,AG MARISCAL NIETO,481,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Central Mz D-4 Lt. 1,,,,,,,,,,,
215,08.- AREQUIPA,MOQUEGUA,ILO,ILO,AG ILO,483,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Ayacucho N° 529,,,,,,,,,,,
216,08.- AREQUIPA,AREQUIPA,CAYLLOMA,MAJES,AG MAJES,511,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Avenida Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal,,,,,,,,,,,
217,08.- AREQUIPA,AREQUIPA,AREQUIPA,CAYMA,AG CAYMA,579,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Ramón Castilla S/N - Estadio La Tomilla,,,,,,,,,,,
218,08.- AREQUIPA,TACNA,TACNA,TACNA,AG TACNA,621,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle Deustua Nº 173,,,,,,,,,,,
219,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL III GOYENECHE (MINSA),725,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Goyeche N° 100,,,,,,,,,,,
220,08.- AREQUIPA,AREQUIPA,CAMANA,CAMANA,ORA HOSPITAL DE CAMANA (MINSA),726,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Lima 550,,,,,,,,,,,
221,08.- AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,MAC - AREQUIPA,762,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura ,,,,,,,,,,,
222,08.- AREQUIPA,AREQUIPA,CAYLLOMA,MAJES,ORA HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS (MINSA),727,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO, Asentamiento B1 lote 1 Irrig. Majes,,,,,,,,,,,
223,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MAC - MOQUEGUA,839,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,"Avenida Circunvalación 1B Sub lote 1-A, Moquegua",,,,,,,,,,,
224,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,PAP PASEO CENTRAL,1040,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,NO,NO,NO,Calle Arturo Ibañez S/N,,,,,,,,,,,
225,08.- AREQUIPA,AREQUIPA,AREQUIPA,CERRO COLORADO,C.S. MARITZA CAMPOS DIAZ (MINSA),750,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle Yavari S/N,,,,,,,,,,,
226,08.- AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,HOSPITAL EDMUNDO ESCOMEL (ESSALUD),336,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida EL Cayro S/N,,,,,,,,,,,
227,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,HOSPITAL CARLOS ALBERTO SEGUIN ESCOBEDO (ESSALUD),514,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle Peral S/N,,,,,,,,,,,
228,08.- AREQUIPA,AREQUIPA,AREQUIPA,YANAHUARA,ORA HOSPITAL III YANAHUARA (ESSALUD),338,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Zamácola S/N,,,,,,,,,,,
229,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,PVM - OR AREQUIPA,600020,PVM,OPERATIVO,08:45 a 16:45,NO,NO,SI,NO,NO,SI,NO,NO,Calle San Juan de Dios N° 122 y Santo Domingo N° 101,,,,,,,,,,,
230,09.- CUSCO,CUSCO,CUSCO,SANTIAGO,ORA ANTONIO LORENA DEL CUSCO (MINSA),60,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle Carlos Ugarte S/N Urb. Primavera Cuartel Agustín Gamarra,,,,,,,,,,,
231,09.- CUSCO,CUSCO,CUSCO,WANCHAQ,ORA HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO (ESSALUD),61,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Ancelmo Alvarez S/N,,,,,,,,,,,
232,09.- CUSCO,APURIMAC,ABANCAY,ABANCAY,OR ABANCAY,71,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida La Victoria Nº 214,,,,,,,,,,,
233,09.- CUSCO,APURIMAC,AYMARAES,CHALHUANCA,PANP AYMARAES,72,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N (Gobernatura De Chalhuanca),,,,,,,,,,,
234,09.- CUSCO,APURIMAC,ANTABAMBA,ANTABAMBA,PANP ANTABAMBA,74,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO, Plaza de Armas S / N,,,,,,,,,,,
235,09.- CUSCO,APURIMAC,COTABAMBAS,TAMBOBAMBA,PAP TAMBOBAMBA,75,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Perú - Plaza de Armas S/N - 3er Piso,,,,,,,,,,,
236,09.- CUSCO,APURIMAC,GRAU,CHUQUIBAMBILLA,PANP GRAU,76,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO, Plaza de Armas S / N,,,,,,,,,,,
237,09.- CUSCO,CUSCO,CUSCO,CUSCO,OR CUSCO,191,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida El Sol N° 272,,,,,,,,,,,
238,09.- CUSCO,CUSCO,ACOMAYO,ACOMAYO,PANP ACOMAYO,192,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N,,,,,,,,,,,
239,09.- CUSCO,CUSCO,ANTA,ANTA ,PAP ANTA,193,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,"Jirón Jaquijahuana  S / N, Izcuchaca",,,,,,,,,,,
240,09.- CUSCO,CUSCO,CALCA,CALCA,AG CALCA,194,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI, Plaza de Armas S/N,,,,,,,,,,,
241,09.- CUSCO,CUSCO,CANAS,YANAOCA,PAP CANAS,195,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N,,,,,,,,,,,
242,09.- CUSCO,CUSCO,CANCHIS,SICUANI,AG CANCHIS,196,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Túpac Amaru N° 163,,,,,,,,,,,
243,09.- CUSCO,CUSCO,CHUMBIVILCAS,SANTO TOMAS,PAP CHUMBIVILCAS,197,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Perú S / N (Ruedo de Toros),,,,,,,,,,,
244,09.- CUSCO,CUSCO,ESPINAR,ESPINAR,PAP ESPINAR,198,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle Teatro S/N  ,,,,,,,,,,,
245,09.- CUSCO,CUSCO,LA CONVENCION,SANTA ANA,AG LA CONVENCION,199,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Grau Nº 238,,,,,,,,,,,
246,09.- CUSCO,CUSCO,PARURO,PARURO,PANP PARURO,200,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N,,,,,,,,,,,
247,09.- CUSCO,CUSCO,PAUCARTAMBO,PAUCARTAMBO,PAP PAUCARTAMBO - JR9,201,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Enrique Yabar S/N,,,,,,,,,,,
248,09.- CUSCO,CUSCO,QUISPICANCHI,URCOS,PAP QUISPICANCHI,202,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Huáscar N° 181,,,,,,,,,,,
249,09.- CUSCO,CUSCO,URUBAMBA,URUBAMBA,PAP URUBAMBA,203,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Conchatupa S/N,,,,,,,,,,,
250,09.- CUSCO,MADRE DE DIOS,TAHUAMANU,IBERIA,AG IBERIA,341,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Máximo Rodríguez N° 124 Plaza de Armas,,,,,,,,,,,
251,09.- CUSCO,APURIMAC,ABANCAY,ABANCAY,ORA HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA (MINSA),348,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Daniel Alcides Carrión S/N,,,,,,,,,,,
252,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,OR TAMBOPATA,461,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Lambayeque N° 159,,,,,,,,,,,
253,09.- CUSCO,MADRE DE DIOS,MANU,MANU,PANP MANU,462,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Avenida Esperanza S/N - Local Municipal,,,,,,,,,,,
254,09.- CUSCO,CUSCO,ACOMAYO,POMACANCHI,AG POMACANCHI,495,AG,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N,,,,,,,,,,,
255,09.- CUSCO,CUSCO,CUSCO,CUSCO,ORA HOSPITAL DE APOYO DEPARTAMENTAL CUSCO (MINSA),599,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida La Cultura S/N,,,,,,,,,,,
256,09.- CUSCO,CUSCO,CANCHIS,SICUANI,ORA SICUANI (MINSA),606,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Manuel Callo Zevallos N° 519 - Hospital MINSA Sicuani,,,,,,,,,,,
257,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,ORA SANTA ROSA (MINSA),633,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Cajamarca N° 171,,,,,,,,,,,
258,09.- CUSCO,CUSCO,LA CONVENCION,SANTA ANA,ORA QUILLABAMBA (MINSA),648,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida General Gamarra S/N - Hospital Quillabamba,,,,,,,,,,,
259,09.- CUSCO,CUSCO,ESPINAR,ESPINAR,ORA ESPINAR (MINSA),657,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle Domingo Huarca Cruz S/N Barrio Túpac Amaru  - Hospital Espinar,,,,,,,,,,,
260,09.- CUSCO,MADRE DE DIOS,TAHUAMANU,IBERIA,ORA SAN MARTIN DE PORRES DE IBERIA (MINSA),713,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle Mocopata S/N,,,,,,,,,,,
261,09.- CUSCO,APURIMAC,COTABAMBAS,TAMBOBAMBA,ORA TAMBOBAMBA (MINSA),349,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO, Hospital Tambobamba,,,,,,,,,,,
262,09.- CUSCO,APURIMAC,COTABAMBAS,HAQUIRA,PAP HAQUIRA,793,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI, Plaza de armas S/N-Haquira,,,,,,,,,,,
263,09.- CUSCO,CUSCO,CHUMBIVILCAS,SANTO TOMAS,ORA SANTO TOMAS (MINSA),728,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle  Andres Avelino Caceres - Hospital Santo Tomas  ,,,,,,,,,,,
264,09.- CUSCO,CUSCO,CHUMBIVILCAS,VELILLE,PANP VELILLE,920,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO, Plaza de Armas - Municipalidad Distrital Velille,,,,,,,,,,,
265,09.- CUSCO,CUSCO,CALCA,YANATILE,PANP YANATILE,919,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO, Plaza de Armas - Municipalidad Distrital Yanatile,,,,,,,,,,,
266,09.- CUSCO,APURIMAC,ABANCAY,CURAHUASI,PANP CURAHUASI,921,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO, Coliseo Cerrado - Municipalidad de Curahuasi,,,,,,,,,,,
267,09.- CUSCO,CUSCO,CUSCO,SANTIAGO,AGENCIA SANTIAGO,1132,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle Giraldo Ruiz Caro S/N,,,,,,,,,,,
268,09.- CUSCO,CUSCO,CUSCO,WANCHAQ,MAC CUSCO,1165,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Collasuyo 2964 - Real Plaza Cusco,,,,,,,,,,,
269,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,INAMBARI,AG INAMBARI,343,AG,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO, Plaza de Armas - Municipalidad Provincial de Inambari,,,,,,,,,,,
270,09.- CUSCO,CUSCO,CUSCO,CUSCO,PVM - OR CUSCO,,PVM,OPERATIVO,08:45 a 16:45,NO,NO,SI,NO,NO,NO,NO,NO,Avenida El Sol N° 272,,,,,,,,,,,
271,10.- LIMA,LIMA,LIMA ,JESÚS MARÍA,ORA HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS (ESSALUD),8,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida SALAVERRY CDRA. 13 - PUERTA 6,,,,,,,,,,,
272,10.- LIMA,CALLAO,CALLAO,CALLAO,ORA NAC. DANIEL A. CARRIÓN (MINSA),11,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida Guardia Chalaca Nº 2176 - Bellavista,,,,,,,,,,,
273,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,ORA HOSPITAL SAN JUAN DE LURIGANCHO (MINSA),12,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida Canto Grande S/N - Altura del paradero 10,,,,,,,,,,,
274,10.- LIMA,LIMA,LIMA,EL AGUSTINO,ORA HOSPITAL NACIONAL HIPOLITO UNANUE (MINSA),14,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida Cesar Vallejo Nº 1390 ,,,,,,,,,,,
275,10.- LIMA,LIMA,LIMA,LIMA,ORA INSTITUTO NACIONAL MATERNO PERINATAL (MINSA),51,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Jirón Miroquesada Nº 941 - Lima,,,,,,,,,,,
276,10.- LIMA,CALLAO,CALLAO,VENTANILLA,OR VENTANILLA,58,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Pachacutec N° 225 - Sector B - Grupo Residencial B1 - Mz. F1 ,,,,,,,,,,,
277,10.- LIMA,LIMA,LIMA,SANTIAGO DE SURCO,OR SURCO - HIGUERETA,114,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Santiago de Surco Nº 2807 Urb. Residencial Higuereta,,,,,,,,,,,
278,10.- LIMA,LIMA,LIMA,SAN BORJA,OR SAN BORJA,168,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida San Luis N° 1673 Urb. Jacaranda II,,,,,,,,,,,
279,10.- LIMA,LIMA,LIMA,COMAS,OR COMAS III,169,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida San Felipe Nº 830 Urb. San Felipe,,,,,,,,,,,
280,10.- LIMA,LIMA,LIMA,LIMA,OR QUILCA,174,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Quilca Nº 501 y 525 ,,,,,,,,,,,
281,10.- LIMA,LIMA,LIMA,LIMA,AG ANCASH,175,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Ancash Nº 336-340 y 344 (Frente a la Plazuela San Francisco) - Lima,,,,,,,,,,,
282,10.- LIMA,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,ORA DANIEL ALCIDES CARRION (MINSA),187,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida Pachacutec N° 3470 - Pasando el Terminal Pesquero.,,,,,,,,,,,
283,10.- LIMA,CALLAO,CALLAO,BELLAVISTA,MAC - CALLAO,335,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza,,,,,,,,,,,
284,10.- LIMA,LIMA,LIMA,LIMA,OR LIMA,371,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Nicolás de Piérola N 545,,,,,,,,,,,
285,10.- LIMA,LIMA,LIMA,ATE,OR ATE,372,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Industrial Nº 438,,,,,,,,,,,
286,10.- LIMA,LIMA,LIMA,COMAS,OR COMAS I,376,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Avenida Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa",,,,,,,,,,,
287,10.- LIMA,LIMA,LIMA,LURIN,OR LURIN,379,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"MZ B, Lote 5 Asociación de Vivienda Familiar Centinela - Lurin",,,,,,,,,,,
288,10.- LIMA,LIMA,LIMA,MIRAFLORES,OR MIRAFLORES,380,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Ernesto Diez Canseco N° 230,,,,,,,,,,,
289,10.- LIMA,LIMA,LIMA,PUENTE PIEDRA,OR PUENTE PIEDRA,382,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Ricardo Palma Nº 241,,,,,,,,,,,
290,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,OR SAN JUAN DE LURIGANCHO,386,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Las Flores Lote 1 Mz. G Urb. Canto Grande Unidad 7,,,,,,,,,,,
291,10.- LIMA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,OR SAN JUAN DE MIRAFLORES,387,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Guillermo Billinghurst  N° 767 – 769 Mz. F Lote 18 Urb. SJM Parcela D,,,,,,,,,,,
292,10.- LIMA,LIMA,LIMA,SAN MARTÍN DE PORRES,OR SAN MARTIN DE PORRES,389,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Eduardo de Habich Nº 590 - 592 con Pedro Paulet N° 589,,,,,,,,,,,
293,10.- LIMA,LIMA,CAJATAMBO,CAJATAMBO,AG CAJATAMBO,391,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Bolognesi S/N - Comisiones de Regantes -Frente plaza de Armas,,,,,,,,,,,
294,10.- LIMA,LIMA,CANTA,CANTA,AG CANTA,392,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Independencia Nº 308 Municipio (Plaza de Armas),,,,,,,,,,,
295,10.- LIMA,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,AG CAÑETE,393,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Los Libertadores Mz. D-3 Lote 4 Urbanización Tercer Mundo,,,,,,,,,,,
296,10.- LIMA,LIMA,HUAURA,HUACHO,AG HUACHO,394,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Grau Nº 295,,,,,,,,,,,
297,10.- LIMA,LIMA,HUAROCHIRI,MATUCANA,AG MATUCANA,395,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,NO,NO,NO,Jirón Tacna S/N  - Centro Civico,,,,,,,,,,,
298,10.- LIMA,LIMA,YAUYOS,YAUYOS,AG YAUYOS,396,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Plaza Plaza Constitución Nº 110,,,,,,,,,,,
299,10.- LIMA,LIMA,HUARAL,HUARAL,AG HUARAL,397,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Pasaje el Palmo esquina con Calle Huaquilla (DEMUNA HUARAL),,,,,,,,,,,
