,,,,,,,,,,,,,,,,,,
N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN ,NOMBRE DE LA VIA
223,08.- AREQUIPA,AREQUIPA,AREQUIPA,YANAHUARA,ORA HOSPITAL III YANAHUARA,338,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Zamácola S/N
224,09.- CUSCO,CUSCO,CUSCO,SANTIAGO,ORA ANTONIO LORENA DEL CUSCO,60,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Carlos Ugarte S/N Urb. Primavera Cuartel Agustín Gamarra
225,09.- CUSCO,CUSCO,CUSCO,WANCHAQ,ORA HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO,61,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Ancelmo Alvarez S/N
226,09.- CUSCO,APURIMAC,ABANCAY,ABANCAY,OR ABANCAY,71,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,La Victoria Nº 214
227,09.- CUSCO,APURIMAC,AYMARAES,CHALHUANCA,PANP AYMARAES,72,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N (Gobernatura De Chalhuanca)
228,09.- CUSCO,APURIMAC,ANTABAMBA,ANTABAMBA,PANP ANTABAMBA,74,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S / N
229,09.- CUSCO,APURIMAC,COTABAMBAS,TAMBOBAMBA,PAP TAMBOBAMBA,75,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Perú - Plaza de Armas S/N - 3er Piso
230,09.- CUSCO,APURIMAC,GRAU,CHUQUIBAMBILLA,PANP GRAU,76,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S / N
231,09.- CUSCO,CUSCO,CUSCO,CUSCO,OR CUSCO,191,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,El Sol N° 272
232,09.- CUSCO,CUSCO,ACOMAYO,ACOMAYO,PANP ACOMAYO,192,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N
233,09.- CUSCO,CUSCO,ANTA,ANTA ,PAP ANTA,193,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,SI,"Jaquijahuana  S / N, Izcuchaca"
234,09.- CUSCO,CUSCO,CALCA,CALCA,AG CALCA,194,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Plaza de Armas S/N
235,09.- CUSCO,CUSCO,CANAS,YANAOCA,PAP CANAS,195,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N
236,09.- CUSCO,CUSCO,CANCHIS,SICUANI,AG CANCHIS,196,AG,OPERATIVO,08:45 a 16:45,NO,SI,SI,SI,SI,NO,SI,SI,Túpac Amaru N° 163
237,09.- CUSCO,CUSCO,CHUMBIVILCAS,SANTO TOMAS,PAP CHUMBIVILCAS,197,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Perú S / N (Ruedo de Toros)
238,09.- CUSCO,CUSCO,ESPINAR,ESPINAR,PAP ESPINAR,198,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Teatro S/N  
239,09.- CUSCO,CUSCO,LA CONVENCION,SANTA ANA,AG LA CONVENCION,199,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Grau Nº 238
240,09.- CUSCO,CUSCO,PARURO,PARURO,PANP PARURO,200,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N
241,09.- CUSCO,CUSCO,PAUCARTAMBO,PAUCARTAMBO,PAP PAUCARTAMBO - JR9,201,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Enrique Yabar S/N
242,09.- CUSCO,CUSCO,QUISPICANCHI,URCOS,PAP QUISPICANCHI,202,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Huáscar N° 181
243,09.- CUSCO,CUSCO,URUBAMBA,URUBAMBA,PAP URUBAMBA,203,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Conchatupa S/N
244,09.- CUSCO,MADRE DE DIOS,TAHUAMANU,IBERIA,AG IBERIA,341,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Máximo Rodríguez N° 124 Plaza de Armas
245,09.- CUSCO,APURIMAC,ABANCAY,ABANCAY,ORA HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA,348,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Daniel Alcides Carrión S/N
246,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,OR TAMBOPATA,461,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Lambayeque N° 159
247,09.- CUSCO,MADRE DE DIOS,MANU,MANU,PANP MANU,462,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Esperanza S/N - Local Municipal
248,09.- CUSCO,CUSCO,ACOMAYO,POMACANCHI,AG POMACANCHI,495,AG,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N
249,09.- CUSCO,CUSCO,CUSCO,CUSCO,ORA HOSPITAL DE APOYO DEPARTAMENTAL CUSCO,599,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,La Cultura S/N
250,09.- CUSCO,CUSCO,CUSCO,SANTIAGO,ORA BELEMPAMPA,600,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,21 de Mayo S/N
251,09.- CUSCO,CUSCO,CANCHIS,SICUANI,ORA SICUANI,606,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Manuel Callo Zevallos N° 519 - Hospital MINSA Sicuani
252,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,ORA SANTA ROSA,633,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Cajamarca N° 171
253,09.- CUSCO,CUSCO,LA CONVENCION,SANTA ANA,ORA QUILLABAMBA,648,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,General Gamarra S/N - Hospital Quillabamba
254,09.- CUSCO,APURIMAC,AYMARAES,CHALHUANCA,ORA CHALHUANCA,649,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Bolivar S/N
255,09.- CUSCO,CUSCO,ESPINAR,ESPINAR,ORA ESPINAR,657,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Domingo Huarca Cruz S/N Barrio Túpac Amaru  - Hospital Espinar
256,09.- CUSCO,MADRE DE DIOS,TAHUAMANU,IBERIA,ORA SAN MARTIN DE PORRES DE IBERIA,713,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Mocopata S/N
257,09.- CUSCO,APURIMAC,COTABAMBAS,TAMBOBAMBA,ORA TAMBOBAMBA,349,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Hospital Tambobamba
258,09.- CUSCO,APURIMAC,COTABAMBAS,HAQUIRA,PAP HAQUIRA,793,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Plaza de armas S/N-Haquira
259,09.- CUSCO,CUSCO,CHUMBIVILCAS,SANTO TOMAS,ORA SANTO TOMAS,728,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO, Andres Avelino Caceres - Hospital Santo Tomas  
260,09.- CUSCO,CUSCO,CHUMBIVILCAS,VELILLE,PANP VELILLE,920,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Plaza de Armas - Municipalidad Distrital Velille
261,09.- CUSCO,CUSCO,CALCA,YANATILE,PANP YANATILE,919,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Plaza de Armas - Municipalidad Distrital Yanatile
262,09.- CUSCO,APURIMAC,ABANCAY,CURAHUASI,PANP CURAHUASI,921,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Coliseo Cerrado - Municipalidad de Curahuasi
263,10.- LIMA,LIMA,LIMA ,JESÚS MARÍA,ORA HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS,8,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,AV. SALAVERRY CDRA. 13 - PUERTA 6
264,10.- LIMA,CALLAO,CALLAO,CALLAO,ORA NAC. DANIEL A. CARRIÓN,11,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Guardia Chalaca Nº 2176 - Bellavista
265,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,ORA HOSPITAL SAN JUAN DE LURIGANCHO,12,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Canto Grande S/N - Altura del paradero 10
266,10.- LIMA,LIMA,LIMA,EL AGUSTINO,ORA HOSPITAL NACIONAL HIPOLITO UNANUE,14,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Cesar Vallejo Nº 1390 
267,10.- LIMA,LIMA,LIMA,LIMA,ORA INSTITUTO NACIONAL MATERNO PERINATAL,51,ORA,OPERATIVO,08:45 a 16:45,SI,SI,NO,SI,NO,SI,NO,NO,Miroquesada Nº 941 - Lima
268,10.- LIMA,CALLAO,CALLAO,VENTANILLA,OR VENTANILLA,58,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Pachacutec N° 225 - Sector B - Grupo Residencial B1 - Mz. F1 
269,10.- LIMA,LIMA,LIMA,SANTIAGO DE SURCO,OR SURCO - HIGUERETA,114,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Santiago de Surco Nº 2807 Urb. Residencial Higuereta
270,10.- LIMA,LIMA,LIMA,SAN BORJA,OR SAN BORJA,168,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,San Luis N° 1673 Urb. Jacaranda II
271,10.- LIMA,LIMA,LIMA,COMAS,OR COMAS III,169,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,San Felipe Nº 830 Urb. San Felipe
272,10.- LIMA,LIMA,LIMA,LIMA,OR QUILCA,174,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Quilca Nº 501 y 525 
273,10.- LIMA,LIMA,LIMA,LIMA,AG ANCASH,175,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,NO,NO,Ancash Nº 336-340 y 344 (Frente a la Plazuela San Francisco) - Lima
274,10.- LIMA,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,ORA DANIEL ALCIDES CARRION,187,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Pachacutec N° 3470 - Pasando el Terminal Pesquero.
275,10.- LIMA,CALLAO,CALLAO,BELLAVISTA,MAC - CALLAO,335,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza
276,10.- LIMA,LIMA,LIMA,LIMA,OR LIMA,371,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Av. Nicolás de Piérola N 545
277,10.- LIMA,LIMA,LIMA,ATE,OR ATE,372,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Industrial Nº 438
278,10.- LIMA,LIMA,LIMA,COMAS,OR COMAS I,376,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa"
279,10.- LIMA,LIMA,LIMA,LURIN,OR LURIN,379,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Simon Bolivar N° 267
280,10.- LIMA,LIMA,LIMA,MIRAFLORES,OR MIRAFLORES,380,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Ernesto Diez Canseco N° 230
281,10.- LIMA,LIMA,LIMA,PUENTE PIEDRA,OR PUENTE PIEDRA,382,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Ricardo Palma Nº 241
282,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,OR SAN JUAN DE LURIGANCHO,386,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Las Flores Lote 1 Mz. G Urb. Canto Grande Unidad 7
283,10.- LIMA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,OR SAN JUAN DE MIRAFLORES,387,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Guillermo Billinghurst  N° 767 – 769 Mz. F Lote 18 Urb. SJM Parcela D
284,10.- LIMA,LIMA,LIMA,SAN MARTÍN DE PORRES,OR SAN MARTIN DE PORRES,389,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Eduardo de Habich Nº 590 - 592 con Pedro Paulet N° 589
285,10.- LIMA,LIMA,CAJATAMBO,CAJATAMBO,AG CAJATAMBO,391,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Bolognesi S/N - Comisiones de Regantes -Frente plaza de Armas
286,10.- LIMA,LIMA,CANTA,CANTA,AG CANTA,392,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Independencia Nº 308 Municipio (Plaza de Armas)
287,10.- LIMA,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,AG CAÑETE,393,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,NO,SI,Los Libertadores Mz. D-3 Lote 4 Urbanización Tercer Mundo
288,10.- LIMA,LIMA,HUAURA,HUACHO,AG HUACHO,394,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Grau Nº 295
289,10.- LIMA,LIMA,HUAROCHIRI,MATUCANA,AG MATUCANA,395,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,Tacna S/N  - Centro Civico
290,10.- LIMA,LIMA,YAUYOS,YAUYOS,AG YAUYOS,396,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Plaza Constitución Nº 110
291,10.- LIMA,LIMA,HUARAL,HUARAL,AG HUARAL,397,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Los Pinos Nº 149 Mz E Lote 4 Pasaje Urb. El Rosario
292,10.- LIMA,LIMA,BARRANCA,BARRANCA,OR BARRANCA,398,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Independencia N° 674 - 676 - 678
293,10.- LIMA,LIMA,OYON,OYON,AG OYON,399,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Unión 216
294,10.- LIMA,LIMA,LIMA,LURIGANCHO,OR CHOSICA,401,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Chucuito Nº 248 
295,10.- LIMA,LIMA,LIMA,PACHACAMAC,OR PACHACAMAC,404,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Paul Poblet N° 3111 - Dentro del Mercado Jumbo
296,10.- LIMA,LIMA,LIMA,JESÚS MARÍA,OR JESUS MARIA,405,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Talara N° 130-132-134 y 136 Jesús Maria
297,10.- LIMA,LIMA,LIMA,CIENEGUILLA,OR CIENEGUILLA,421,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"San Martin Lote 15, Zona ""D"" Manzana ""D"" Centro Poblado Tambo Viejo"
298,10.- LIMA,LIMA,LIMA,SANTA ANITA,OR SANTA ANITA,423,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Los Eucaliptos Nº 947, Urbanización Universal"
299,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,OR INDEPENDENCIA,430,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Los Andes Nº 486 Urb. Industrial Panamericana Norte
300,10.- LIMA,CALLAO,CALLAO,VENTANILLA,MAC - VENTANILLA,544,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica 
301,10.- LIMA,LIMA,LIMA,JESÚS MARÍA,AG 06 DE AGOSTO,550,AG,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,SI,NO,SI,SI,06 de Agosto N° 856
302,10.- LIMA,CALLAO,CALLAO,MI PERÚ,AG MI PERU,574,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,Mz. G7 Lt. 06 Mi Perú  interior de la Sede Municipal.
303,10.- LIMA,LIMA,LIMA,SAN MARTÍN DE PORRES,ORA NACIONAL CAYETANO HEREDIA,577,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Honorio Delgado N° 262 - Urb. Ingeniería / Obstetricia
304,10.- LIMA,LIMA,HUAURA,HUACHO,ORA HOSPITAL GENERAL DE HUACHO,640,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Jose Arnaldo Arambulo La Rosa N° 251
305,10.- LIMA,CALLAO,CALLAO,CALLAO,OR CALLAO,661,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Dos de Mayo N° 440 - 446
306,10.- LIMA,LIMA,LIMA,SAN BORJA,AG ATENCIONES ESPECIALES DE SAN BORJA,696,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,NO,NO,Javier Prado N° 2388 -2386 - 2392
307,10.- LIMA,LIMA,LIMA,VILLA EL SALVADOR,OR VILLA EL SALVADOR,706,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Arriba Perú Nº 640 Sector 2, Grupo 7, Mz J, Lt 05 "
308,10.- LIMA,LIMA,LIMA,EL AGUSTINO,MAC - LIMA ESTE,717,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,Ancash 2151 - Centro Comercial Agustino Plaza
309,10.- LIMA,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,ORA HOSPITAL SAN JOSE,729,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Las Magnolias 475 Carmen de la Legua-Reynoso
310,10.- LIMA,CALLAO,CALLAO,VENTANILLA,ORA HOSPITAL DE VENTANILLA,730,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Pedro Beltran S/N Ventanilla - Hospital de Ventanilla
311,10.- LIMA,LIMA,CAÑETE,SAN LUIS,ORA HOSPITAL REZOLA,739,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Distrito de San Luis S/N
312,10.- LIMA,LIMA,BARRANCA,BARRANCA,ORA HOSPITAL DE BARRANCA,740,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Nicolás de Piérola Nº 210 -224
313,10.- LIMA,LIMA,HUARAL,HUARAL,ORA HOSPITAL SAN JUAN BAUTISTA HUARAL,753,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Tacna Nº 120 Urb. San Juan I
314,10.- LIMA,LIMA,LIMA ,COMAS,ORA HOSPITAL NACIONAL SERGIO E. BERNALES,754,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,"Túpac Amaru N° 8000, Collique, Comas."
315,10.- LIMA,LIMA,LIMA,LIMA,ORA NACIONAL DOS DE MAYO,755,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Parque Historia De La Medicina Peruana S/N Altura Cuadra 13 Av Grau
316,10.- LIMA,LIMA,LIMA,ATE ,ORA HOSPITAL DE HUAYCAN,757,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,José C.Mariátegui S/N Zona B - A.H.Huaycán S/N Ate Lima Lima
317,10.- LIMA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,MAC - LIMA SUR,796,MAC,OPERATIVO,08:30 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Circunvalación 1583- San Juan de Miraflores
318,10.- LIMA,LIMA,LIMA,COMAS,MAC - LIMA NORTE,808,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,Los Angeles N° 602 2do piso - Cc Mall Plaza 
319,10.- LIMA,LIMA,LIMA,JESUS MARIA,PVM - JESUS MARIA ,490,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Talara N° 130
320,10.- LIMA,LIMA,LIMA,SANTIAGO DE SURCO,PVM - JOCKEY PLAZA,478,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Javier Prado Este N° 4200 ( Centro Financiero del Centro Comercial)
321,10.- LIMA,LIMA,LIMA,SURQUILLO,PVM - OPEN PLAZA ANGAMOS,499,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Cruce Angamos N° 1805 con Tomas Marsano
322,10.- LIMA,LIMA,LIMA,CHORRILLOS,PVM - PLAZA LIMA SUR,493,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Prolongación Paseo  de la Republica S/N Urb. Matellini (2do nivel del Centro Comercial) 
323,10.- LIMA,CALLAO,CALLAO,VENTANILLA,PVM VENTANILLA,724,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica 
324,10.- LIMA,CALLAO,CALLAO,BELLAVISTA,PVM MALL AVENTURA PLAZA - CALLAO,494,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza
325,10.- LIMA,LIMA,LIMA,CERCADO,PVM - REAL PLAZA CENTRO CÍVICO,491,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Garcilaso de la Vega N° 1337
326,10.- LIMA,LIMA,LIMA,MIRAFLORES,PVM- MIRAFLORES,547,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Diez Canseco N° 230
327,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,PVM - INDEPENDENCIA,775,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Los Andes Nº 486 Urb. Industrial Panamericana Norte
328,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,PVM - SAN JUAN DE LURIGANCHO ,489,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Las Flores Lote Nz. 6 Urb . Canto Grande 
329,10.- LIMA,LIMA,LIMA,SANTA ANITA,ORA HOSP. JORGE VOTO BERNALES,17,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,"CARRETERA CENTRAL KM. 3,5 - SANTA ANITA"
330,10.- LIMA,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,CMI JOSE CARLOS MARIATEGUI,751,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,"Necochea s/n, AH. Jose Carlos Mariategui, Villa Maria del Triunfo."
331,10.- LIMA,LIMA,LIMA,CHORRILLOS,CMI VIRGEN DEL CARMEN ,183,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,AV. LEOPOLDO ARIAS 200 FRENTE AL COLISEO MARISCAL CACERES
332,10.- LIMA,LIMA,LIMA,PUENTE PIEDRA,CARLOS LANFRANCO LA HOZ,13,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,AV. SAENZ PEÑA S/N KM 30
333,10.- LIMA,LIMA,LIMA,SAN BORJA,PVM - SAN SAN BORJA,492,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,SAN LUIS 1673 - URB JACARANDA II
334,10.- LIMA,ANCASH,OCROS,OCROS,AG OCROS,40,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N (MUNICIPIO)
335,11.- PUNO,PUNO,PUNO,PUNO,ORA MANUEL NUÑEZ BUTRON,19,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,El Sol N° 1022
336,11.- PUNO,PUNO,PUNO,PUNO,ORA HOSPITAL BASE III (PUNO) - RED ASISTENCIAL PUNO,89,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Francisco Cáceres Jara Nº 600
337,11.- PUNO,PUNO,SAN ROMAN,JULIACA,ORA CARLOS MONGE MEDRANO,90,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Carretera a Huancane Km 2
338,11.- PUNO,PUNO,EL COLLAO ,ILAVE ,ORA ILAVE,108,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Atahualpa Nº 825
339,11.- PUNO,PUNO,SAN ROMAN,JULIACA,ORA HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA,118,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,José Santos Chocano S/N - La Capilla
