,,,,,,,,,,,,,,,,,,,,,,,,,
N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN ,NOMBRE DE LA VIA,,,,,,,
205,08.- AREQUIPA,AREQUIPA,CASTILLA,APLAO,PAP CASTILLA,95,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Progreso S/N,,,,,,,
206,08.- AREQUIPA,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,PAP CONDESUYOS,96,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Alameda S/N - Los Tres Errantes,,,,,,,
207,08.- AREQUIPA,AREQUIPA,ISLAY,MOLLENDO,AG ISLAY,97,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,Arequipa Nº 261 ,,,,,,,
208,08.- AREQUIPA,AREQUIPA,LA UNION,COTAHUASI,PAP LA UNION,98,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Centenario N° 202 - Cotahuasi,,,,,,,
209,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ORA HOSPITAL REGIONAL MOQUEGUA (MINSA),145,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Simón Bolívar N° 505,,,,,,,
210,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,AG MARISCAL NIETO,481,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Lima Nº 676,,,,,,,
211,08.- AREQUIPA,MOQUEGUA,ILO,ILO,AG ILO,483,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Ayacucho N° 529,,,,,,,
212,08.- AREQUIPA,AREQUIPA,CAYLLOMA,MAJES,AG MAJES,511,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal,,,,,,,
213,08.- AREQUIPA,AREQUIPA,AREQUIPA,CAYMA,AG CAYMA,579,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,Ramón Castilla S/N - Estadio La Tomilla,,,,,,,
214,08.- AREQUIPA,TACNA,TACNA,TACNA,AG TACNA,621,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Deustua Nº 173,,,,,,,
215,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL III GOYENECHE (MINSA),725,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Goyeche N° 100,,,,,,,
216,08.- AREQUIPA,AREQUIPA,CAMANA,CAMANA,ORA HOSPITAL DE CAMANA (MINSA),726,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Lima 550,,,,,,,
217,08.- AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,MAC - AREQUIPA,762,MAC,OPERATIVO,08:30 a 16:30,SI,NO,SI,SI,SI,NO,SI,SI,Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura ,,,,,,,
218,08.- AREQUIPA,AREQUIPA,CAYLLOMA,MAJES,ORA HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS (MINSA),727,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Asentamiento B1 lote 1 Irrig. Majes,,,,,,,
219,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MAC - MOQUEGUA,839,MAC,OPERATIVO,08:30 a 16:30,SI,NO,SI,SI,SI,NO,SI,SI,"Circunvalación 1B Sub lote 1-A, Moquegua",,,,,,,
220,08.- AREQUIPA,AREQUIPA,AREQUIPA,YURA,PANP YURA,865,PANP,DESPLAZAMIENTO,08:00 a 16:00,NO,NO,SI,SI,SI,NO,NO,NO,Asoc Ciudad de Dios Z-3 Yura,,,,,,,
221,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,PAP PASEO CENTRAL,1040,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Arturo Ibañez S/N,,,,,,,
222,08.- AREQUIPA,AREQUIPA,AREQUIPA,CERRO COLORADO,C.S. MARITZA CAMPOS DIAZ (MINSA),750,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Yavari S/N,,,,,,,
223,08.- AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,HOSPITAL EDMUNDO ESCOMEL (ESSALUD),336,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,EL Cayro S/N,,,,,,,
224,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,HOSPITAL CARLOS ALBERTO SEGUIN ESCOBEDO (ESSALUD),514,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Peral S/N,,,,,,,
225,08.- AREQUIPA,AREQUIPA,AREQUIPA,YANAHUARA,ORA HOSPITAL III YANAHUARA (ESSALUD),338,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Zamácola S/N,,,,,,,
226,09.- CUSCO,CUSCO,CUSCO,SANTIAGO,ORA ANTONIO LORENA DEL CUSCO (MINSA),60,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Carlos Ugarte S/N Urb. Primavera Cuartel Agustín Gamarra,,,,,,,
227,09.- CUSCO,CUSCO,CUSCO,WANCHAQ,ORA HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO (ESSALUD),61,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Ancelmo Alvarez S/N,,,,,,,
228,09.- CUSCO,APURIMAC,ABANCAY,ABANCAY,OR ABANCAY,71,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,La Victoria Nº 214,,,,,,,
229,09.- CUSCO,APURIMAC,AYMARAES,CHALHUANCA,PANP AYMARAES,72,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N (Gobernatura De Chalhuanca),,,,,,,
230,09.- CUSCO,APURIMAC,ANTABAMBA,ANTABAMBA,PANP ANTABAMBA,74,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S / N,,,,,,,
231,09.- CUSCO,APURIMAC,COTABAMBAS,TAMBOBAMBA,PAP TAMBOBAMBA,75,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Perú - Plaza de Armas S/N - 3er Piso,,,,,,,
232,09.- CUSCO,APURIMAC,GRAU,CHUQUIBAMBILLA,PANP GRAU,76,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S / N,,,,,,,
233,09.- CUSCO,CUSCO,CUSCO,CUSCO,OR CUSCO,191,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,El Sol N° 272,,,,,,,
234,09.- CUSCO,CUSCO,ACOMAYO,ACOMAYO,PANP ACOMAYO,192,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N,,,,,,,
235,09.- CUSCO,CUSCO,ANTA,ANTA ,PAP ANTA,193,PAP,OPERATIVO,08:45 a 16:30,NO,SI,SI,SI,SI,NO,SI,SI,"Jaquijahuana  S / N, Izcuchaca",,,,,,,
236,09.- CUSCO,CUSCO,CALCA,CALCA,AG CALCA,194,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Plaza de Armas S/N,,,,,,,
237,09.- CUSCO,CUSCO,CANAS,YANAOCA,PAP CANAS,195,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N,,,,,,,
238,09.- CUSCO,CUSCO,CANCHIS,SICUANI,AG CANCHIS,196,AG,OPERATIVO,08:45 a 16:45,NO,SI,SI,SI,SI,NO,SI,SI,Túpac Amaru N° 163,,,,,,,
239,09.- CUSCO,CUSCO,CHUMBIVILCAS,SANTO TOMAS,PAP CHUMBIVILCAS,197,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Perú S / N (Ruedo de Toros),,,,,,,
240,09.- CUSCO,CUSCO,ESPINAR,ESPINAR,PAP ESPINAR,198,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Teatro S/N  ,,,,,,,
241,09.- CUSCO,CUSCO,LA CONVENCION,SANTA ANA,AG LA CONVENCION,199,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Grau Nº 238,,,,,,,
242,09.- CUSCO,CUSCO,PARURO,PARURO,PANP PARURO,200,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N,,,,,,,
243,09.- CUSCO,CUSCO,PAUCARTAMBO,PAUCARTAMBO,PAP PAUCARTAMBO - JR9,201,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Enrique Yabar S/N,,,,,,,
244,09.- CUSCO,CUSCO,QUISPICANCHI,URCOS,PAP QUISPICANCHI,202,PAP,OPERATIVO,08:45 a 16:45,NO,SI,SI,SI,SI,NO,SI,SI,Huáscar N° 181,,,,,,,
245,09.- CUSCO,CUSCO,URUBAMBA,URUBAMBA,PAP URUBAMBA,203,PAP,OPERATIVO,08:45 a 16:30,NO,SI,SI,SI,SI,NO,SI,SI,Conchatupa S/N,,,,,,,
246,09.- CUSCO,MADRE DE DIOS,TAHUAMANU,IBERIA,AG IBERIA,341,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Máximo Rodríguez N° 124 Plaza de Armas,,,,,,,
247,09.- CUSCO,APURIMAC,ABANCAY,ABANCAY,ORA HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA (MINSA),348,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Daniel Alcides Carrión S/N,,,,,,,
248,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,OR TAMBOPATA,461,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Lambayeque N° 159,,,,,,,
249,09.- CUSCO,MADRE DE DIOS,MANU,MANU,PANP MANU,462,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,NO,NO,Esperanza S/N - Local Municipal,,,,,,,
250,09.- CUSCO,CUSCO,ACOMAYO,POMACANCHI,AG POMACANCHI,495,AG,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N,,,,,,,
251,09.- CUSCO,CUSCO,CUSCO,CUSCO,ORA HOSPITAL DE APOYO DEPARTAMENTAL CUSCO (MINSA),599,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,La Cultura S/N,,,,,,,
252,09.- CUSCO,CUSCO,CUSCO,SANTIAGO,ORA BELEMPAMPA (MINSA),600,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,21 de Mayo S/N,,,,,,,
253,09.- CUSCO,CUSCO,CANCHIS,SICUANI,ORA SICUANI (MINSA),606,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Manuel Callo Zevallos N° 519 - Hospital MINSA Sicuani,,,,,,,
254,09.- CUSCO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,ORA SANTA ROSA (MINSA),633,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Cajamarca N° 171,,,,,,,
255,09.- CUSCO,CUSCO,LA CONVENCION,SANTA ANA,ORA QUILLABAMBA (MINSA),648,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,General Gamarra S/N - Hospital Quillabamba,,,,,,,
256,09.- CUSCO,APURIMAC,AYMARAES,CHALHUANCA,ORA CHALHUANCA (MINSA),649,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Bolivar S/N,,,,,,,
257,09.- CUSCO,CUSCO,ESPINAR,ESPINAR,ORA ESPINAR (MINSA),657,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Domingo Huarca Cruz S/N Barrio Túpac Amaru  - Hospital Espinar,,,,,,,
258,09.- CUSCO,MADRE DE DIOS,TAHUAMANU,IBERIA,ORA SAN MARTIN DE PORRES DE IBERIA (MINSA),713,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Mocopata S/N,,,,,,,
259,09.- CUSCO,APURIMAC,COTABAMBAS,TAMBOBAMBA,ORA TAMBOBAMBA (MINSA),349,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Hospital Tambobamba,,,,,,,
260,09.- CUSCO,APURIMAC,COTABAMBAS,HAQUIRA,PAP HAQUIRA,793,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Plaza de armas S/N-Haquira,,,,,,,
261,09.- CUSCO,CUSCO,CHUMBIVILCAS,SANTO TOMAS,ORA SANTO TOMAS (MINSA),728,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO, Andres Avelino Caceres - Hospital Santo Tomas  ,,,,,,,
262,09.- CUSCO,CUSCO,CHUMBIVILCAS,VELILLE,PANP VELILLE,920,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Plaza de Armas - Municipalidad Distrital Velille,,,,,,,
263,09.- CUSCO,CUSCO,CALCA,YANATILE,PANP YANATILE,919,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Plaza de Armas - Municipalidad Distrital Yanatile,,,,,,,
264,09.- CUSCO,APURIMAC,ABANCAY,CURAHUASI,PANP CURAHUASI,921,PANP,DESPLAZAMIENTO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Coliseo Cerrado - Municipalidad de Curahuasi,,,,,,,
265,09.- CUSCO,CUSCO,CUSCO,SANTIAGO,AGENCIA SANTIAGO,1132,AG,OPERATIVO,08:45 a 16:30,NO,SI,SI,SI,SI,NO,SI,SI,Giraldo Ruiz Caro S/N,,,,,,,
266,09.- CUSCO,CUSCO,CUSCO,WANCHAQ,MAC CUSCO,1165,MAC,OPERATIVO,08:45 a 16:30,NO,SI,SI,SI,SI,NO,SI,SI,Collasuyo 2964 - Real Plaza Cusco,,,,,,,
267,10.- LIMA,LIMA,LIMA ,JESÚS MARÍA,ORA HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS (ESSALUD),8,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,AV. SALAVERRY CDRA. 13 - PUERTA 6,,,,,,,
268,10.- LIMA,CALLAO,CALLAO,CALLAO,ORA NAC. DANIEL A. CARRIÓN (MINSA),11,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Guardia Chalaca Nº 2176 - Bellavista,,,,,,,
269,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,ORA HOSPITAL SAN JUAN DE LURIGANCHO (MINSA),12,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Canto Grande S/N - Altura del paradero 10,,,,,,,
270,10.- LIMA,LIMA,LIMA,EL AGUSTINO,ORA HOSPITAL NACIONAL HIPOLITO UNANUE (MINSA),14,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Cesar Vallejo Nº 1390 ,,,,,,,
271,10.- LIMA,LIMA,LIMA,LIMA,ORA INSTITUTO NACIONAL MATERNO PERINATAL (MINSA),51,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,Miroquesada Nº 941 - Lima,,,,,,,
272,10.- LIMA,CALLAO,CALLAO,VENTANILLA,OR VENTANILLA,58,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Pachacutec N° 225 - Sector B - Grupo Residencial B1 - Mz. F1 ,,,,,,,
273,10.- LIMA,LIMA,LIMA,SANTIAGO DE SURCO,OR SURCO - HIGUERETA,114,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Santiago de Surco Nº 2807 Urb. Residencial Higuereta,,,,,,,
274,10.- LIMA,LIMA,LIMA,SAN BORJA,OR SAN BORJA,168,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,San Luis N° 1673 Urb. Jacaranda II,,,,,,,
275,10.- LIMA,LIMA,LIMA,COMAS,OR COMAS III,169,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,San Felipe Nº 830 Urb. San Felipe,,,,,,,
276,10.- LIMA,LIMA,LIMA,LIMA,OR QUILCA,174,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Quilca Nº 501 y 525 ,,,,,,,
277,10.- LIMA,LIMA,LIMA,LIMA,AG ANCASH,175,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Ancash Nº 336-340 y 344 (Frente a la Plazuela San Francisco) - Lima,,,,,,,
278,10.- LIMA,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,ORA DANIEL ALCIDES CARRION (MINSA),187,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Pachacutec N° 3470 - Pasando el Terminal Pesquero.,,,,,,,
279,10.- LIMA,CALLAO,CALLAO,BELLAVISTA,MAC - CALLAO,335,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza,,,,,,,
280,10.- LIMA,LIMA,LIMA,LIMA,OR LIMA,371,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Av. Nicolás de Piérola N 545,,,,,,,
281,10.- LIMA,LIMA,LIMA,ATE,OR ATE,372,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Industrial Nº 438,,,,,,,
282,10.- LIMA,LIMA,LIMA,COMAS,OR COMAS I,376,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa",,,,,,,
283,10.- LIMA,LIMA,LIMA,LURIN,OR LURIN,379,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Simon Bolivar N° 267,,,,,,,
284,10.- LIMA,LIMA,LIMA,MIRAFLORES,OR MIRAFLORES,380,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Ernesto Diez Canseco N° 230,,,,,,,
285,10.- LIMA,LIMA,LIMA,PUENTE PIEDRA,OR PUENTE PIEDRA,382,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Ricardo Palma Nº 241,,,,,,,
286,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,OR SAN JUAN DE LURIGANCHO,386,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Las Flores Lote 1 Mz. G Urb. Canto Grande Unidad 7,,,,,,,
287,10.- LIMA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,OR SAN JUAN DE MIRAFLORES,387,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Guillermo Billinghurst  N° 767 – 769 Mz. F Lote 18 Urb. SJM Parcela D,,,,,,,
288,10.- LIMA,LIMA,LIMA,SAN MARTÍN DE PORRES,OR SAN MARTIN DE PORRES,389,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Eduardo de Habich Nº 590 - 592 con Pedro Paulet N° 589,,,,,,,
289,10.- LIMA,LIMA,CAJATAMBO,CAJATAMBO,AG CAJATAMBO,391,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Bolognesi S/N - Comisiones de Regantes -Frente plaza de Armas,,,,,,,
290,10.- LIMA,LIMA,CANTA,CANTA,AG CANTA,392,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Independencia Nº 308 Municipio (Plaza de Armas),,,,,,,
291,10.- LIMA,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,AG CAÑETE,393,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,NO,SI,Los Libertadores Mz. D-3 Lote 4 Urbanización Tercer Mundo,,,,,,,
292,10.- LIMA,LIMA,HUAURA,HUACHO,AG HUACHO,394,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Grau Nº 295,,,,,,,
293,10.- LIMA,LIMA,HUAROCHIRI,MATUCANA,AG MATUCANA,395,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,Tacna S/N  - Centro Civico,,,,,,,
294,10.- LIMA,LIMA,YAUYOS,YAUYOS,AG YAUYOS,396,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Plaza Constitución Nº 110,,,,,,,
295,10.- LIMA,LIMA,HUARAL,HUARAL,AG HUARAL,397,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Los Pinos Nº 149 Mz E Lote 4 Pasaje Urb. El Rosario,,,,,,,
296,10.- LIMA,LIMA,BARRANCA,BARRANCA,OR BARRANCA,398,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Independencia N° 674 - 676 - 678,,,,,,,
297,10.- LIMA,LIMA,OYON,OYON,AG OYON,399,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Unión 216,,,,,,,
298,10.- LIMA,LIMA,LIMA,LURIGANCHO,OR CHOSICA,401,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Chucuito Nº 248 ,,,,,,,
299,10.- LIMA,LIMA,LIMA,PACHACAMAC,OR PACHACAMAC,404,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Paul Poblet N° 3111 - Dentro del Mercado Jumbo,,,,,,,
300,10.- LIMA,LIMA,LIMA,JESÚS MARÍA,OR JESUS MARIA,405,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Talara N° 130-132-134 y 136 Jesús Maria,,,,,,,
301,10.- LIMA,LIMA,LIMA,CIENEGUILLA,OR CIENEGUILLA,421,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"San Martin Lote 15, Zona ""D"" Manzana ""D"" Centro Poblado Tambo Viejo",,,,,,,
302,10.- LIMA,LIMA,LIMA,SANTA ANITA,OR SANTA ANITA,423,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Los Eucaliptos Nº 947, Urbanización Universal",,,,,,,
303,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,OR INDEPENDENCIA,430,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Los Andes Nº 486 Urb. Industrial Panamericana Norte,,,,,,,
304,10.- LIMA,CALLAO,CALLAO,VENTANILLA,MAC - VENTANILLA,544,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica ,,,,,,,
305,10.- LIMA,LIMA,LIMA,JESÚS MARÍA,AG 06 DE AGOSTO,550,AG,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,SI,NO,SI,SI,06 de Agosto N° 856,,,,,,,
306,10.- LIMA,CALLAO,CALLAO,MI PERÚ,PAP MI PERU,574,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,Mz. G7 Lt. 06 Mi Perú  interior de la Sede Municipal.,,,,,,,
307,10.- LIMA,LIMA,LIMA,SAN MARTÍN DE PORRES,ORA NACIONAL CAYETANO HEREDIA (MINSA),577,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,Honorio Delgado N° 262 - Urb. Ingeniería / Obstetricia,,,,,,,
308,10.- LIMA,LIMA,HUAURA,HUACHO,ORA HOSPITAL GENERAL DE HUACHO (MINSA),640,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Jose Arnaldo Arambulo La Rosa N° 251,,,,,,,
309,10.- LIMA,CALLAO,CALLAO,CALLAO,OR CALLAO,661,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Dos de Mayo N° 440 - 446,,,,,,,
310,10.- LIMA,LIMA,LIMA,SAN BORJA,AG ATENCIONES ESPECIALES DE SAN BORJA,696,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,NO,NO,Javier Prado N° 2388 -2386 - 2392,,,,,,,
311,10.- LIMA,LIMA,LIMA,VILLA EL SALVADOR,OR VILLA EL SALVADOR,706,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Arriba Perú Nº 640 Sector 2, Grupo 7, Mz J, Lt 05 ",,,,,,,
312,10.- LIMA,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,ORA HOSPITAL SAN JOSE (MINSA),729,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Las Magnolias 475 Carmen de la Legua-Reynoso,,,,,,,
313,10.- LIMA,CALLAO,CALLAO,VENTANILLA,ORA HOSPITAL DE VENTANILLA (MINSA),730,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Pedro Beltran S/N Ventanilla - Hospital de Ventanilla,,,,,,,
314,10.- LIMA,LIMA,CAÑETE,SAN LUIS,ORA HOSPITAL REZOLA (MINSA),739,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Distrito de San Luis S/N,,,,,,,
