,,,,,,,,,,,,,,,,,,,,,,,,146
180,47,AYACUCHO,HUAMANGA,AYACUCHO,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,"ORA HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA"" (MINSA)",08:45 a 16:45,,Jirón Daniel Alcides Carrión S/N - 2da cuadra.,OPERATIVO,SI,SI,NO,SI,NO,SI,NO,NO,NO
181,119,AYACUCHO,LA MAR,AYNA,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP AYNA -SAN FRANCISCO,08:45 a 16:45,,Avenida 28 de Julio S/N San Francisco,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
182,121,AYACUCHO,HUAMANGA,AYACUCHO,,,,07.- AYACUCHO,OFICINA REGISTRAL,OR,OR HUAMANGA,08:45 a 16:45,,"Jirón San Martin Nº 473, 475, 477 y 477A",OPERATIVO,si,si,si,si,si,si,si,si,SI
183,122,AYACUCHO,CANGALLO,CANGALLO,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP CANGALLO,08:45 a 16:45,,Jirón Maria Parado de Bellido Nº 205,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
184,123,AYACUCHO,HUANTA,HUANTA,,,,07.- AYACUCHO,AGENCIA,AG,AG HUANTA,08:45 a 16:45,,Jirón Ayacucho N° 305,OPERATIVO,si,si,si,si,si,si,si,si,SI
185,124,AYACUCHO,LA MAR,SAN MIGUEL,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP LA MAR,08:45 a 16:45,,Jirón Maria Parado de Bellido S/N ,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
186,127,AYACUCHO,VICTOR FAJARDO,HUANCAPI,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP VICTOR FAJARDO,08:45 a 16:45,, Plaza Principal Nº 127,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
187,128,AYACUCHO,HUANCA SANCOS,SANCOS,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP HUANCASANCOS,08:45 a 16:45,,Avenida Progreso S/N Consejo Provincial de Huanca Sancos,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
188,129,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP VILCASHUAMAN,08:45 a 16:45,,Avenida Los Incas Nº 222,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
189,131,AYACUCHO,SUCRE,QUEROBAMBA,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP SUCRE,08:45 a 16:45,,Jirón San Martin S/N  Plaza de Armas Consejo Provincial de Sucre,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
190,213,AYACUCHO,HUANTA,HUANTA,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,"ORA HOSPITAL DE APOYO HUANTA ""DANIEL ALCIDES CARRION"" (MINSA)",08:45 a 16:45,,Avenida Mariscal Castilla Nº 628,OPERATIVO,SI,SI,NO,SI,NO,SI,NO,NO,NO
191,454,AYACUCHO,LA MAR,SAN MIGUEL,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA SAN MIGUEL (MINSA),08:45 a 16:45,,Avenida Ramon Castilla s/n,DESPLAZAMIENTO,SI,SI,NO,SI,NO,SI,NO,NO,NO
192,455,AYACUCHO,CANGALLO,CANGALLO,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO CANGALLO (MINSA),08:45 a 16:45,,Jirón Santa Rosa N° 110,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
193,172,CUSCO,LA CONVENCION,PICHARI,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP PICHARI,08:45 a 16:45,,Avenida BRASIL S/N,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
194,77,APURIMAC,CHINCHEROS,CHINCHEROS,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP CHINCHEROS,08:45 a 16:45,,Jirón COTABAMBAS N° 121,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
195,500,AYACUCHO,LA MAR,SAMUGARI,,,,07.- AYACUCHO,PUNTO DE ATENCION PERMANENTE,PAP,PAP SAMUGARI -PALMAPAMPA,08:45 a 16:45,,Jirón Los Laureles S/N – Palmapampa Distrital de Samugari,OPERATIVO,NO,NO,SI,SI,SI,NO,SI,SI,NO
196,620,AYACUCHO,LA MAR,TAMBO,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA TAMBO (MINSA),08:45 a 16:45,,Jirón Lima s/n,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
197,628,AYACUCHO,HUAMANGA,JESUS NAZARENO,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO JESUS NAZARENO (MINSA),08:45 a 16:45,,Jirón Ciro Alegría Nº 547,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
198,73,APURIMAC,ANDAHUAYLAS,TALAVERA,,,,07.- AYACUCHO,OFICINA REGISTRAL,OR,OR ANDAHUAYLAS,08:45 a 16:45,,Jirón Amauta N° 311,OPERATIVO,si,si,si,si,si,si,si,si,SI
199,458,APURIMAC,CHINCHEROS,ANCCO HUALLO,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA  CENTRO DE SALUD URIPA  (MINSA),08:45 a 16:45,,Avenida  Túpac Amaru S/N – URIPA,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
200,459,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL REGIONAL DOCENTE  HUGO PESCE PESCETTO ANDAHUAYLAS (MINSA),08:45 a 16:45,,Avenida Hugo Pesce Pesceto S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
201,357,AYACUCHO,HUANTA,SIVIA,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO DE SIVIA (MINSA),08:45 a 16:45,,Jirón Gervacio Santillana S/N,DESPLAZAMIENTO,SI,SI,NO,SI,SI,SI,NO,NO,NO
202,699,CUSCO,LA CONVENCION,KIMBIRI,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA CENTRO DE SALUD SAN JUAN DE KIMBIRI (MINSA),08:45 a 16:45,,Avenida Aeropuerto S/N,DESPLAZAMIENTO,SI,SI,NO,SI,SI,SI,NO,NO,NO
203,629,CUSCO,LA CONVENCION,PICHARI,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO PICHARI (MINSA),08:45 a 16:45,,Jirón Amazonas s/n,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
204,457,APURIMAC,CHINCHEROS,CHINCHEROS,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO CHINCHEROS (MINSA),08:45 a 16:45,,Avenida Fernando Belaunde Terry S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
205,631,AYACUCHO,CANGALLO,LOS MOROCHUCOS,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA PAMPA CANGALLO (MINSA),08:45 a 16:45,,Avenida María Arguedas S/N,OPERATIVO,SI,SI,SI,SI,SI,SI,NO,NO,NO
206,1186,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA SAN JUAN BAUTISTA,08:45 a 16:45,,AV. MALVINAS S/N,DESPLAZAMIENTO,SI,SI,NO,SI,SI,SI,NO,NO,NO
207,456,AYACUCHO,LA MAR,AYNA,,,,07.- AYACUCHO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO AYNA SAN FRANCISCO,08:45 a 16:45,,AV. HUANTA S/N,DESPLAZAMIENTO,SI,SI,NO,SI,SI,SI,NO,NO,NO
208,52,AREQUIPA,AREQUIPA,AREQUIPA,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA (MINSA),08:45 a 16:30,,Avenida Daniel Alcides Carrión N° 505,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
209,54,TACNA,TACNA,TACNA,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,ORA TACNA (MINSA),08:45 a 16:30,,Calle Blondel S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
210,91,AREQUIPA,AREQUIPA,AREQUIPA,,,,08.- AREQUIPA,OFICINA REGISTRAL,OR,OR AREQUIPA,08:45 a 16:45,,Calle San Juan de Dios N° 122 y Santo Domingo N° 101,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
211,92,AREQUIPA,CAYLLOMA,CHIVAY,,,,08.- AREQUIPA,PUNTO DE ATENCION PERMANENTE,PAP,PAP CAYLLOMA,08:45 a 16:45,,Calle Siglo XX S/N,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
212,93,AREQUIPA,CAMANA,CAMANA,,,,08.- AREQUIPA,AGENCIA,AG,AG CAMANA,08:45 a 16:45,,Avenida Mariscal Castilla N° 221,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
213,94,AREQUIPA,CARAVELI,CARAVELÍ,,,,08.- AREQUIPA,PUNTO DE ATENCION PERMANENTE,PAP,PAP CARAVELI,08:45 a 16:45,,Jirón Bolivar S/N,DESPLAZAMIENTO,SI,SI,SI,SI,SI,NO,SI,SI,NO
214,95,AREQUIPA,CASTILLA,APLAO,,,,08.- AREQUIPA,PUNTO DE ATENCION PERMANENTE,PAP,PAP CASTILLA,08:45 a 16:45,,Calle Progreso S/N,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
215,96,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,,,,08.- AREQUIPA,PUNTO DE ATENCION PERMANENTE,PAP,PAP CONDESUYOS,08:45 a 16:45,,Avenida Alameda S/N - Los Tres Errantes,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
216,97,AREQUIPA,ISLAY,MOLLENDO,,,,08.- AREQUIPA,AGENCIA,AG,AG ISLAY,08:45 a 16:45,,Jiron Arequipa Nº 261 ,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
217,98,AREQUIPA,LA UNION,COTAHUASI,,,,08.- AREQUIPA,PUNTO DE ATENCION PERMANENTE,PAP,PAP LA UNION,08:45 a 16:45,,Calle Centenario N° 202 - Cotahuasi,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
218,145,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL REGIONAL MOQUEGUA (MINSA),08:45 a 16:30,,Avenida Simón Bolívar N° 505,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
219,481,MOQUEGUA,MARISCAL NIETO,SAN ANTONIO,,,,08.- AREQUIPA,AGENCIA,AG,AG MARISCAL NIETO,08:45 a 16:45,,Avenida Central Mz D-4 Lt. 1,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
220,483,MOQUEGUA,ILO,ILO,,,,08.- AREQUIPA,AGENCIA,AG,AG ILO,08:45 a 16:45,,Jirón Ayacucho N° 529,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
221,511,AREQUIPA,CAYLLOMA,MAJES,,,,08.- AREQUIPA,AGENCIA,AG,AG MAJES,08:45 a 16:45,,Avenida Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
222,579,AREQUIPA,AREQUIPA,CAYMA,,,,08.- AREQUIPA,AGENCIA,AG,AG CAYMA,08:45 a 16:45,,Avenida Ramón Castilla S/N - Estadio La Tomilla,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
223,621,TACNA,TACNA,TACNA,,,,08.- AREQUIPA,OFICINA REGISTRAL,OR,OR TACNA,08:45 a 16:45,,Calle Deustua Nº 173,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
224,725,AREQUIPA,AREQUIPA,AREQUIPA,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL III GOYENECHE (MINSA),08:45 a 16:30,,Avenida Goyeneche N° 100,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
225,726,AREQUIPA,CAMANA,CAMANA,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE CAMANA (MINSA),08:45 a 16:30,,Avenida Lima 550,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
226,762,AREQUIPA,AREQUIPA,PAUCARPATA,,,,08.- AREQUIPA,MEJOR ATENCION AL CIUDADANO,MAC,MAC - AREQUIPA,08:30 a 16:30,,Avenida Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura ,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
227,727,AREQUIPA,CAYLLOMA,MAJES,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS (MINSA),08:45 a 16:30,, Asentamiento B1 lote 1 Irrig. Majes,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
228,839,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,,,,08.- AREQUIPA,MEJOR ATENCION AL CIUDADANO,MAC,MAC - MOQUEGUA,08:30 a 16:30,,"Avenida Circunvalación 1B Sub lote 1-A, Moquegua",OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
229,1040,AREQUIPA,AREQUIPA,AREQUIPA,,,,08.- AREQUIPA,PUNTO DE ATENCION PERMANENTE,PAP,PAP PASEO CENTRAL,08:45 a 16:45,,Calle Arturo Ibañez S/N,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,NO
230,750,AREQUIPA,AREQUIPA,CERRO COLORADO,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,C.S. MARITZA CAMPOS DIAZ (MINSA),08:45 a 16:30,,Calle Yavari S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
231,336,AREQUIPA,AREQUIPA,PAUCARPATA,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,HOSPITAL EDMUNDO ESCOMEL (ESSALUD),08:45 a 16:30,,Avenida EL Cayro S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
232,514,AREQUIPA,AREQUIPA,AREQUIPA,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,HOSPITAL CARLOS ALBERTO SEGUIN ESCOBEDO (ESSALUD),08:45 a 16:30,,Calle Peral S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
233,338,AREQUIPA,AREQUIPA,YANAHUARA,,,,08.- AREQUIPA,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL III YANAHUARA (ESSALUD),08:45 a 16:30,,Avenida Zamácola S/N,OPERATIVO,SI,SI,NO,SI,SI,SI,NO,NO,NO
234,600020,AREQUIPA,AREQUIPA,AREQUIPA,,,,08.- AREQUIPA,AGENTE RENIEC,AGENTE,AGENTE RENIEC - OR AREQUIPA,08:45 a 16:45,,Calle San Juan de Dios N° 122 y Santo Domingo N° 101,OPERATIVO,NO,NO,SI,NO,NO,NO,SI,NO,NO
235,60,CUSCO,CUSCO,SANTIAGO,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA ANTONIO LORENA DEL CUSCO (MINSA),08:45 a 16:30,,Calle Carlos Ugarte S/N Urb. Primavera Cuartel Agustín Gamarra,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
236,61,CUSCO,CUSCO,WANCHAQ,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO (ESSALUD),08:45 a 16:30,,Avenida Ancelmo Alvarez S/N,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
237,71,APURIMAC,ABANCAY,ABANCAY,,,,09.- CUSCO,OFICINA REGISTRAL,OR,OR ABANCAY,08:45 a 16:45,,Avenida La Victoria Nº 214,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI
238,72,APURIMAC,AYMARAES,CHALHUANCA,,,,09.- CUSCO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP AYMARAES,08:45 a 16:45,, Plaza de Armas S/N (Gobernatura De Chalhuanca),DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
239,74,APURIMAC,ANTABAMBA,ANTABAMBA,,,,09.- CUSCO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP ANTABAMBA,08:45 a 16:45,, Plaza de Armas S / N,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
240,75,APURIMAC,COTABAMBAS,TAMBOBAMBA,,,,09.- CUSCO,PUNTO DE ATENCION PERMANENTE,PAP,PAP TAMBOBAMBA,08:45 a 16:45,,Avenida Perú - Plaza de Armas S/N - 3er Piso,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
241,76,APURIMAC,GRAU,CHUQUIBAMBILLA,,,,09.- CUSCO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP GRAU,08:45 a 16:45,, Plaza de Armas S / N,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
242,191,CUSCO,CUSCO,CUSCO,,,,09.- CUSCO,OFICINA REGISTRAL,OR,OR CUSCO,08:45 a 16:45,,Avenida El Sol N° 272,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI
243,192,CUSCO,ACOMAYO,ACOMAYO,,,,09.- CUSCO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP ACOMAYO,08:45 a 16:45,, Plaza de Armas S/N,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
244,193,CUSCO,ANTA,ANTA ,,,,09.- CUSCO,PUNTO DE ATENCION PERMANENTE,PAP,PAP ANTA,08:45 a 16:45,,"Jirón Jaquijahuana  S / N, Izcuchaca",OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
245,194,CUSCO,CALCA,CALCA,,,,09.- CUSCO,AGENCIA,AG,AG CALCA,08:45 a 16:45,, Plaza de Armas S/N,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
246,195,CUSCO,CANAS,YANAOCA,,,,09.- CUSCO,PUNTO DE ATENCION PERMANENTE,PAP,PAP CANAS,08:45 a 16:45,, Plaza de Armas S/N,OPERATIVO,SI,NO,SI,SI,SI,NO,NO,NO,NO
247,196,CUSCO,CANCHIS,SICUANI,,,,09.- CUSCO,AGENCIA,AG,AG CANCHIS,08:45 a 16:45,,Avenida Túpac Amaru N° 163,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
248,197,CUSCO,CHUMBIVILCAS,SANTO TOMAS,,,,09.- CUSCO,PUNTO DE ATENCION PERMANENTE,PAP,PAP CHUMBIVILCAS,08:45 a 16:45,,Avenida Perú S / N (Ruedo de Toros),OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
249,198,CUSCO,ESPINAR,ESPINAR,,,,09.- CUSCO,PUNTO DE ATENCION PERMANENTE,PAP,PAP ESPINAR,08:45 a 16:45,,Calle Teatro S/N  ,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
250,199,CUSCO,LA CONVENCION,SANTA ANA,,,,09.- CUSCO,AGENCIA,AG,AG LA CONVENCION,08:45 a 16:45,,Avenida Grau Nº 238,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
251,200,CUSCO,PARURO,PARURO,,,,09.- CUSCO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP PARURO,08:45 a 16:45,, Plaza de Armas S/N,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
252,201,CUSCO,PAUCARTAMBO,PAUCARTAMBO,,,,09.- CUSCO,PUNTO DE ATENCION PERMANENTE,PAP,PAP PAUCARTAMBO - JR9,08:45 a 16:45,,Jirón Enrique Yabar S/N,OPERATIVO,SI,SI,SI,SI,SI,NO,NO,NO,SI
253,202,CUSCO,QUISPICANCHI,URCOS,,,,09.- CUSCO,PUNTO DE ATENCION PERMANENTE,PAP,PAP QUISPICANCHI,08:45 a 16:45,,Jirón Huáscar N° 181,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
254,203,CUSCO,URUBAMBA,URUBAMBA,,,,09.- CUSCO,PUNTO DE ATENCION PERMANENTE,PAP,PAP URUBAMBA,08:45 a 16:45,,Avenida Conchatupa S/N,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
255,341,MADRE DE DIOS,TAHUAMANU,IBERIA,,,,09.- CUSCO,AGENCIA,AG,AG IBERIA,08:45 a 16:45,,Avenida Máximo Rodríguez N° 124 Plaza de Armas,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
256,348,APURIMAC,ABANCAY,ABANCAY,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA (MINSA),08:45 a 16:30,,Avenida Daniel Alcides Carrión S/N,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
257,461,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,,,,09.- CUSCO,OFICINA REGISTRAL,OR,OR TAMBOPATA,08:45 a 16:45,,Jirón Lambayeque N° 159,OPERATIVO,SI,SI,SI,SI,SI,SI,SI,SI,SI
258,462,MADRE DE DIOS,MANU,MANU,,,,09.- CUSCO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP MANU,08:45 a 16:45,,Avenida Esperanza S/N - Local Municipal,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
259,495,CUSCO,ACOMAYO,POMACANCHI,,,,09.- CUSCO,AGENCIA,AG,AG POMACANCHI,08:45 a 16:45,, Plaza de Armas S/N,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,NO,NO,NO
260,599,CUSCO,CUSCO,CUSCO,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA HOSPITAL DE APOYO DEPARTAMENTAL CUSCO (MINSA),08:45 a 16:30,,Avenida La Cultura S/N,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
261,606,CUSCO,CANCHIS,SICUANI,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA SICUANI (MINSA),08:45 a 16:30,,Avenida Manuel Callo Zevallos N° 519 - Hospital MINSA Sicuani,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
262,633,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA SANTA ROSA (MINSA),08:45 a 16:30,,Jirón Cajamarca N° 171,DESPLAZAMIENTO,SI,NO,NO,SI,SI,SI,NO,NO,NO
263,648,CUSCO,LA CONVENCION,SANTA ANA,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA QUILLABAMBA (MINSA),08:45 a 16:30,,Avenida General Gamarra S/N - Hospital Quillabamba,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
264,657,CUSCO,ESPINAR,ESPINAR,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA ESPINAR (MINSA),08:45 a 16:30,,Calle Domingo Huarca Cruz S/N Barrio Túpac Amaru  - Hospital Espinar,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
265,713,MADRE DE DIOS,TAHUAMANU,IBERIA,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA SAN MARTIN DE PORRES DE IBERIA (MINSA),08:45 a 16:30,,Calle Mocopata S/N,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
266,349,APURIMAC,COTABAMBAS,TAMBOBAMBA,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA TAMBOBAMBA (MINSA),08:45 a 16:30,, Hospital Tambobamba,OPERATIVO,SI,NO,NO,SI,SI,SI,NO,NO,NO
267,793,APURIMAC,COTABAMBAS,HAQUIRA,,,,09.- CUSCO,PUNTO DE ATENCION PERMANENTE,PAP,PAP HAQUIRA,08:45 a 16:45,, Plaza de armas S/N-Haquira,DESPLAZAMIENTO,SI,SI,SI,SI,SI,NO,SI,SI,SI
268,728,CUSCO,CHUMBIVILCAS,SANTO TOMAS,,,,09.- CUSCO,OFICINA REGISTRAL AUXILIAR,ORA,ORA SANTO TOMAS (MINSA),08:45 a 16:30,,Calle  Andres Avelino Caceres - Hospital Santo Tomas  ,DESPLAZAMIENTO,SI,NO,NO,SI,SI,SI,NO,NO,NO
269,920,CUSCO,CHUMBIVILCAS,VELILLE,,,,09.- CUSCO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP VELILLE,08:45 a 16:45,, Plaza de Armas - Municipalidad Distrital Velille,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,SI,SI,NO
270,919,CUSCO,CALCA,YANATILE,,,,09.- CUSCO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP YANATILE,08:45 a 16:45,, Plaza de Armas - Municipalidad Distrital Yanatile,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,SI,SI,NO
271,921,APURIMAC,ABANCAY,CURAHUASI,,,,09.- CUSCO,PUNTO DE ATENCION NO PERMANENTE,PANP,PANP CURAHUASI,08:45 a 16:45,, Coliseo Cerrado - Municipalidad de Curahuasi,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,SI,SI,NO
272,1132,CUSCO,CUSCO,SANTIAGO,,,,09.- CUSCO,AGENCIA,AG,AGENCIA SANTIAGO,08:15 a 16:15,,Calle Giraldo Ruiz Caro S/N,OPERATIVO,SI,SI,SI,SI,SI,NO,NO,NO,SI
273,1165,CUSCO,CUSCO,WANCHAQ,,,,09.- CUSCO,MEJOR ATENCION AL CIUDADANO,MAC,MAC - CUSCO,08:30 a 16:30,,Avenida Collasuyo 2964 - Real Plaza Cusco,OPERATIVO,SI,SI,SI,SI,SI,NO,SI,SI,SI
274,343,MADRE DE DIOS,TAMBOPATA,INAMBARI,,,,09.- CUSCO,AGENCIA,AG,AG INAMBARI,08:45 a 16:45,, Plaza de Armas - Municipalidad Provincial de Inambari,DESPLAZAMIENTO,NO,NO,SI,SI,SI,NO,SI,SI,NO
275,600021,CUSCO,CUSCO,CUSCO,,,,09.- CUSCO,AGENTE RENIEC,AGENTE,AGENTE RENIEC - OR CUSCO,08:45 a 16:45,,Avenida El Sol N° 272,OPERATIVO,NO,NO,SI,NO,NO,NO,NO,NO,NO
